incident_id,incident_date,matched_company,ticker,CIK,listing_status,role,severity_tier,severity_source,disclosure_code,code_confidence,accounting_filing_item,accounting_booked_impact,evidence,rationale,title
116,2021-09-20,"Amazon.com, Inc.",AMZN,1018724,LISTED,deployer,T3-severe,CSET,T3,medium,,,"Window 2021-09-20 to 2022-09-20. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language. AI-camera automated performance-evaluation of delivery drivers is not named; no related legal proceeding disclosed.",Generic AI/algorithm risk language of same family present; specific system/event not named => T3.,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
129,2021-03-01,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K (in-window) carries reliance-on-AI content-review and hate-speech/objectionable-content risk language; the subsequent FY2021 10-K (0001326801-22-000018) risk factors acknowledge the September-2021 former-employee scrutiny generically but do not name specific internal findings. No filing ,Internal-document hate-speech-removal shortfall captured only by family-level automated-moderation risk language (and generic former-employee-scrutiny language); the specific finding is not named. T3.,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement"
144,2020-06-28,Alphabet Inc.,GOOGL,1652044,PARENT,both,T1-limited,CSET,T3,high,,,"Window 2020-06-28 to 2021-06-28. In-window FY2020 10-K (goog-20201231.htm, filed 2021-02-03) carries the AI/ML ethical/brand risk factor. YouTube AI hate-speech detector falsely banning chess creators is within the AI content-moderation risk family. Not named in any filing; Legal Matters antitrust-o",AI moderation false-positive covered by generic AI/ML risk language; event not specifically disclosed.,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation
160,2021-12-26,"Amazon.com, Inc.",AMZN,1018724,LISTED,both,T2-moderate,CSET,T3,medium,,,"Window 2021-12-26 to 2022-12-26. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language plus product-liability and objectionable-content risk factors. Alexa's harmful 'penny challenge' recommendation is not named; the only Alexa legal matter disclosed is a",Alexa is an Amazon AI system covered by generic AI and product-safety/content risk language; incident not named => T3.,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl
161,2019-04-03,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,rubric,T3,medium,,,"In-window annuals are Facebook FY2018 10-K (0001326801-19-000009) and FY2019 10-K (0001326801-20-000013, fb-12312019x10k.htm, 2020-01-30), whose Item 1A carries family-level advertising and content risk language ('changes reduce our ability to effectively target ads... adversely affected our adverti",Ad-delivery skew along racial/gender lines surfaces only as family-level advertising + objectionable-content + generic government-scrutiny risk language; the specific fair-housing/HUD ad-discrimination matter is not named in any in-window periodic filing. Conservative T3 (medium: a live regulatory m,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines
168,2022-03-01,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,rubric,T3,medium,,,FY2022 10-K (0001326801-23-000013) recommendation/ranking-algorithm and metrics language ('algorithm or other technical errors'; 'statistical variances and uncertainties'); FY2023 10-K lists AI risks including 'bias'. Popularity-bias in collaborative filtering is a generic technical characterization,Same-family recommender-bias risk language present; no specific disclosed event. T3.,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation Outputs"
153,2019-12-29,"Tesla, Inc.",TSLA,1318605,LISTED,both,T3-severe,CSET,T3,high,,,Window (2019-12 to 2020-12) includes FY2019 10-K (0001564590-20-004475) Autopilot death/injury risk language. The Gardena red-light Autopilot fatality (two killed; driver later criminally charged) is not named in any filing.,High-profile fatal Autopilot crash and driver prosecution never disclosed in SEC filings; generic Autopilot risk language only = T3.,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles"
145,2021-07-23,"Tesla, Inc.",TSLA,1318605,LISTED,both,T2-moderate,CSET,T3,high,,,Window (2021-07 to 2022-07) includes FY2021 10-K (2022-02) with Autopilot vision-perception reliability risk language. The moon-mistaken-for-yellow-light perception glitch is not named in any filing.,Perception-error demonstration not disclosed; same-family Autopilot reliability risk language = T3.,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light
141,2021-02-05,"Meta Platforms, Inc.",META,1326801,PARENT,both,T1-limited,rubric,T3,high,,,FY2020 10-K carries reliance-on-automated-systems and content-enforcement risk language (including IP/copyright-enforcement obligations). No filing references the police officer exploiting Instagram's automated copyright (DMCA) detection.,Automated copyright-detection behavior (no Meta legal consequence) captured only by family-level automated-enforcement risk language; event not named. T3.,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed
125,2020-09-29,"Amazon.com, Inc.",AMZN,1018724,LISTED,both,T3-severe,CSET,T3,low,,,"Window 2020-09-29 to 2021-09-29. In-window FY2020 10-K (0001018724-21-000004, filed 2021-02-03) carries generic AI/ML risk language and describes robotics/automation and safety investment in the Business section. No risk factor addresses robotic-fulfillment injury rates; the event is not named and d","Robotics/automation is an AI-adjacent Amazon system covered by generic AI/ML risk language; incident not named. Family match is weak (workplace-injury framing absent), hence low confidence, but generic same-family language present => T3 over T4.",Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates
156,2022-02-04,"Amazon.com, Inc.",AMZN,1018724,LISTED,both,T3-severe,CSET,T3,medium,,,"Window 2022-02-04 to 2023-02-04. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) and 2022 10-Qs carry generic AI/ML risk language plus the product-liability and fraudulent/objectionable-goods risk factors. Recommendation-system surfacing of suicide-aid products / 'frequently bought to",Recommendation-algorithm + product harm covered by generic AI/algorithm and product-liability/objectionable-content risk language; event not named => T3.,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts
143,2021-02-16,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K carries reliance-on-AI content-review and harmful/objectionable-content risk language. No filing references the failure to moderate small-language (Balkan) content.,Language-coverage moderation gap captured only by family-level content-moderation risk language; event not named. T3.,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups
157,2021-03-15,"Amazon.com, Inc.",AMZN,1018724,LISTED,both,T3-severe,CSET,T3,medium,,,"Window 2021-03-15 to 2022-03-15. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language. The AI driver-monitoring system and the individual crash tort suit are not named; Legal Proceedings names no delivery-driver matter (individual tort, immaterial).",Individual tort suit not disclosed (no T2). Generic AI/algorithm risk language of same family present; event not named => T3.,"Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
139,2021-01-21,"Amazon.com, Inc.",AMZN,1018724,LISTED,both,T2-moderate,CSET,T3,medium,,,"Window 2021-01-21 to 2022-01-21. In-window FY2020 10-K (0001018724-21-000004, filed 2021-02-03) and 2021 10-Qs carry generic AI/ML risk language plus the fraudulent/unlawful/objectionable seller-content risk factor. Search/recommendation-algorithm surfacing of vaccine-misinformation products is not ",Recommendation/algorithm harm covered by generic AI/algorithm and objectionable-content risk language; event not named => T3.,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation
142,2021-02-11,"Meta Platforms, Inc.",META,1326801,LISTED,both,T2-moderate,CSET,T3,high,,,FY2020 10-K (in-window; incident 2021-02-11) carries reliance-on-AI content/ad-review and objectionable-content risk language. No filing references adaptive-fashion products misclassified as medical equipment.,Automated ad-classification error captured only by family-level ad-moderation risk language; event not named. T3.,Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers
149,2021-11-02,"Zillow Group, Inc.",ZG,1617640,LISTED,deployer,T3-severe,CSET,T1,high,"8-K Item 8.01 (Other Events) narrative winding down Zillow Offers, with the associated inventory write-down reported alongside Item 2.02 (Results of Operations) results / earnings release. NOTE: contrary to the task's reference guess, this 8-K is captioned under Items 2.02 and 8.01, NOT Item 2.05 (Costs Associated with Exit or Disposal Activities); the Homes-segment inventory write-down is the accounting vehicle.","yes -- ~$304 million Q3-2021 Homes-segment inventory write-down (lower-of-cost-or-net-realizable-value adjustment on homes bought above current expected selling prices), with a further $240-265 million of losses guided for Q4-2021; Homes-segment Q3-2021 loss of $421.6M.","Zillow Group (CIK 0001617640). 8-K filed 2021-11-02 (0001617640-21-000085), covering Item 2.02 (Results of Operations) and Item 8.01 (Other Events). It explicitly announces winding down Zillow Offers/the Homes segment and states the reason verbatim: 'We've determined the unpredictability in forecast","Clear T1 disclosed-specific: the 8-K names the Zillow Offers shutdown, attributes it explicitly to the predictive pricing tool's inability to forecast home prices, and books a ~$304M inventory write-down plus $240-265M of guided Q4 losses -- the key accounting-channel incident of this batch (recorde",Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy
124,2019-10-24,UnitedHealth Group Inc.,UNH,731766,PARENT,developer,T3-severe,CSET,T4,high,,,"In-window annual: FY2019 10-K (window 2019-10-24 to 2020-10-24). Same evidentiary base as incident 501: no 'artificial intelligence'/'AI/ML' language in UNH 10-Ks before FY2023; 'algorithm' in zero UNH 10-Ks; the Optum health-risk-score racial-bias study (Obermeyer et al., Science, Oct 2019) is not ",Event not named; no AI/algorithm same-family risk language in the in-window FY2019 10-K. No disclosure located => T4.,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs
159,2019-03-29,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,Window (2019-03 to 2020-03) includes FY2019 10-K (0001564590-20-004475) with Autopilot/self-driving technology and 'claimed failures of new technologies' risk language. No filing references the Tencent Keen adversarial-attack security research.,Third-party security-research demonstration; not disclosed. Autopilot/self-driving reliability risk language is same-family = T3.,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks
127,2020-06-06,Microsoft Corporation,MSFT,789019,LISTED,both,T3-severe,CSET,T4,high,,,"Window 2020-06-06..2021-06-06. Only in-window annual report is FY2020 10-K (0001564590-20-034944), AI-as-business-only, no AI-harm/bias risk factor. MSN algorithmic mis-selection of a mixed-race person's photo never referenced; no legal proceeding disclosed.",Pre-FY2023 window lacks AI risk-factor language of the same (bias) family; not named. T4.,Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story
163,2021-11-21,"Meta Platforms, Inc.",META,1326801,LISTED,both,T1-limited,rubric,T3,high,,,"efts q='hate speech' returns only generic 10-K risk-factor usage, not the event. FY2021 10-K addresses 'hate speech, and other content' handling and content-moderation failure risk. Internal-research finding (hate-speech detection under-removing content harming minority groups, Facebook Papers) not ",Same-family harmful-content / moderation-failure and algorithmic-bias risk language present; specific internal finding not disclosed. T3.,Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minority Groups
203,2022-02-10,"Uber Technologies, Inc.",UBER,1543151,LISTED,both,T1-limited,rubric,T3,medium,,,In-window annuals: FY2021 10-K filed 2022-02-24 (acc 0001543151-22-000008) and FY2022 10-K filed 2023-02-21. 'artificial intelligence' is present in these 10-Ks (efts FY2020+); the standalone word 'algorithm' first appears in Uber 10-Ks at FY2023 (efts q=algorithm&forms=10-K: FY2023-FY2025). Uber's ,"Pricing/pay-algorithm and driver-dissatisfaction risks are disclosed generically (with AI/ML risk language present in-window); the specific upfront-fares algorithm rollout is not named. Same-family generic risk, event not named => T3.",Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US
213,2020-07-01,"Meta Platforms, Inc.",META,1326801,LISTED,both,T1-limited,rubric,T3,high,,,FY2020 10-K carries advertising and automated-detection/misinformation risk language ('effectively target ads'; 'misinformation... including... elections'). No filing references researcher findings on uneven political-ad detection error rates.,Political-ad-detection performance captured only by family-level advertising + election-integrity risk language; event not named. T3.,Facebook’s Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates
175,2022-04-01,General Motors Company,GM,1467858,PARENT,both,T1-limited,rubric,T3,high,,,"GM FY2022 10-K (0001467858-23-000029, 2023-01-31) carries AV risk-factor language re accidents/regulatory scrutiny. No filing references the April-2022 Cruise-fled-police SF episode; no incident-specific hits in efts.","Widely-reported but immaterial operational episode; not named in filings, only family-level AV/regulatory risk language present.",Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco
178,2022-04-21,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,Window (2022-04 to 2023-04) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01). The Smart Summon collision with a Vision Jet aircraft in Spokane is not named in any filing.,Automated-summon feature incident not disclosed; same-family automated-driving/driver-assist risk language present = T3.,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport"
220,2020-11-11,"Meta Platforms, Inc.",META,1326801,LISTED,both,T3-severe,CSET,T3,high,,,FY2020 10-K (0001326801-21-000014) ties heavier reliance on AI (with less human review) to content/ad enforcement during the remote-work/COVID period ('rely more heavily on artificial intelligence to perform tasks') and carries advertising risk language. No filing references the erroneous blocking o,Automated ad-blocking false-positive captured squarely by family-level reliance-on-AI content/ad-enforcement risk language; event not named. T3.,Facebook Mistakenly Blocked Small Business Ads
221,2022-03-07,"Tesla, Inc.",TSLA,1318605,LISTED,both,T3-severe,rubric,T3,high,,,Window (2022-03 to 2023-03) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01) with Autopilot crash/death risk language. The Taiwan Autopilot crash and road-engineer fatality is not named in any filing.,Foreign Autopilot crash not disclosed; generic same-family Autopilot risk language only = T3.,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot
181,2022-02-11,General Motors Company,GM,1467858,PARENT,both,T2-moderate,rubric,T3,high,,,"GM FY2021 10-K (0001467858-22-000034, 2022-02-02) and FY2022 10-K (0001467858-23-000029, 2023-01-31) both carry autonomous-vehicle risk-factor language: 'Our AV strategy is dependent upon our ability to successfully mitigate unique technological, operational and regulatory risks... To the extent acc",Minor Cruise AV fender-bender never named in any GM filing; only the family-level autonomous-driving accident/liability risk language is present in the in-window 10-Ks.,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle"
209,2020-10-20,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,"The FSD 'rolling stop' functionality that was recalled (NHTSA recall 22V-085, Feb 2022) is NOT disclosed: efts 'rolling stop'=0 hits across all Tesla filings. In-window FY2020/FY2021 10-Ks carry generic FSD risk and generic 'recall' language, but the specific recall is never referenced.","The specific regulatory consequence (the FSD rolling-stop recall) does not appear in filings, so not T2; only generic FSD risk-factor language of the same family is present = T3.",Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode
215,2020-04-01,"Meta Platforms, Inc.",META,1326801,LISTED,both,T1-limited,rubric,T3,high,,,"FY2020 10-K (0001326801-21-000014) states adverse impacts from 'limitations on our safety, security, and content review efforts while our workforce is working remotely, such as the necessity to rely more heavily on artificial intelligence to perform tasks' — directly the same family as inadequate AI",Inadequate-AI-moderation / moderator-conditions issue captured by family-level reliance-on-AI content-review risk language; event and moderator settlement not named as legal proceedings. T3.,Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation
208,2021-05-01,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,The phantom-braking / Tesla Vision issue and the resulting NHTSA inquiry (PE22-002) are NOT disclosed: efts 'phantom braking'=0 hits. In-window FY2021 10-K (2022-02) carries the vision-based-sensor reliability risk factor ('may ... result in initial functional disparities from prior iterations') but,"Specific NHTSA phantom-braking investigation not disclosed, so not T2; generic vision-based self-driving reliability risk language is same-family = T3.","Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout"
211,2021-12-11,"Tesla, Inc.",TSLA,1318605,LISTED,developer,T3-severe,rubric,T3,high,,,"Window (2021-12 to 2022-12) includes FY2021 10-K (2022-02) and 2022 10-Qs carrying Autopilot/FSD and sudden-acceleration/product-liability-type risk language. The Paris Model 3 taxi crash (SUA allegation, ~20 injured) is not named in any filing.",Foreign crash/SUA allegation not individually disclosed; generic same-family driver-assist/vehicle risk language only = T3.,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries
187,2022-02-04,"Tesla, Inc.",TSLA,1318605,LISTED,developer,T1-limited,rubric,T3,high,,,Window (2022-02 to 2023-02) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01) with FSD Beta driver-assist risk language. The YouTuber FSD-Beta bollard-collision test is not named in any filing.,FSD Beta demonstration not disclosed; same-family FSD/driver-assist risk language present = T3.,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons"
218,2020-06-01,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,"Window (2020-06 to 2021-06) includes the FY2020 10-K (filed 2021-02) and FY2019 10-K, both carrying Autopilot crash/product-liability risk language. The Taiwan overturned-truck Autopilot crash is not named in any filing.",Foreign Autopilot crash not disclosed; generic same-family Autopilot risk language only = T3.,Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway
197,2021-10-01,"Meta Platforms, Inc.",META,1326801,LISTED,both,T1-limited,rubric,T3,high,,,FY2021 10-K (0001326801-22-000018) Risk Factors: 'we also may fail to respond expeditiously or appropriately to the sharing of objectionable content'; News Feed ranking algorithm 'susceptible to algorithm or other technical errors'. Event (internal ranking-algorithm bug allowing harmful content to e,"Same-family content-moderation-failure and algorithm-error risk language present in the contemporaneous 10-K, but the specific incident is not disclosed. Classic T3.","Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months"
230,2019-03-01,"Tesla, Inc.",TSLA,1318605,LISTED,both,T1-limited,rubric,T3,high,,,"Window (2019-03 to 2020-03) includes the FY2019 10-K (0001564590-20-004475, 2020-02-13) with Autopilot 'crashes resulting in death or personal injury' risk language, plus 2019 10-Qs. No filing names this Florida Model 3-into-tractor-trailer fatality; efts shows no incident-specific or legal referenc",Fatal Autopilot crash under NTSB/NHTSA review but never disclosed as such in SEC filings; only generic Autopilot/FSD death-and-injury risk-factor language present in-window. Generic same-family risk language = T3.,"Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver"
228,2019-02-01,Apple Inc.,AAPL,320193,LISTED,both,T1-limited,rubric,T4,high,,,"For the 2019-02-01 Apple Maps incident, the in-window 10-K is Apple FY2019 (filed 2019-10-30). Full-text search confirms neither 'artificial intelligence' nor 'machine learning' appears in any Apple 10-K before FY2023 (first appearance filed 2023-11-03), so the in-window filing contains NO same-fami",No AI-family risk language existed in Apple 10-Ks in the incident window and no legal-proceedings disclosure names the event. No disclosure located. T4.,Apple Maps Allegedly Directed Ski Trip Couple Onto Unpaved Road in the Mountains
240,2021-06-29,Microsoft Corporation,MSFT,789019,PARENT,both,T1-limited,rubric,T4,high,,,"Window 2021-06-29..2022-06-29. In-window annual report FY2021 10-K (0001564590-21-039151) has AI-as-business-only, no AI-IP/copyright risk factor. efts 'GitHub' hits in MSFT filings are routine business mentions, not litigation. The Doe v. GitHub/Copilot class action was filed Nov 2022, outside the ",Pre-FY2023 window lacks AI IP/copyright risk-factor language; no in-window litigation; unnamed. T4.,"GitHub Copilot, Copyright Infringement and Open Source Licensing"
271,2022-07-24,"Tesla, Inc.",TSLA,1318605,LISTED,both,T3-severe,rubric,T3,high,,,Window (2022-07 to 2023-07) includes FY2022 10-K (2023-01) with Autopilot crash/death risk language plus 2023 10-Qs. The Utah Model 3-Autopilot motorcyclist fatality is not named in any filing.,Fatal Autopilot crash not individually disclosed; generic same-family Autopilot risk language only = T3.,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah
268,2020-03-16,"Meta Platforms, Inc.",META,1326801,LISTED,both,T1-limited,rubric,T3,high,,,FY2020 10-K (0001326801-21-000014) carries reliance-on-AI content-review and objectionable-content risk language. No filing references the concern that automated permanent removal of terrorism/extremist content without archival hindered criminal investigations.,Automated content-removal side-effect captured only by family-level content-moderation risk language; event not named. T3.,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts
255,2020-05-31,"SoundThinking, Inc.",SSTI,1351636,LISTED,developer,T1-limited,rubric,T3,high,,,"Correct issuer CIK 1351636 (SoundThinking f/k/a ShotSpotter). In-window annual: FY2019 10-K filed 2020-03-13 and FY2020 10-K filed 2021-03-29 (acc 0001564590-21-016134, ssti-10k_20201231.htm). The term 'accuracy' appears in every ShotSpotter/SoundThinking 10-K FY2017-FY2025 (efts, CIK 1351636). The ","Gunshot-detection accuracy/false-alert reliability is the exact family the company discloses as a standing risk factor in every 10-K, but the specific Michael Williams / Chicago matter is not named. Same-family generic risk language present, event not named => T3.",Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case
253,2022-05-18,General Motors Company,GM,1467858,PARENT,both,T1-limited,rubric,T3,high,,,"GM FY2022 10-K (0001467858-23-000029, 2023-01-31) AV risk factor present. No filing references the May-2022 Cruise connectivity-loss traffic-blockage event; no incident-specific efts hits.",Operational stall/blockage not disclosed; only family-level AV technological/operational risk language present in the in-window 10-K.,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco"
256,2021-11-07,"SoundThinking, Inc.",SSTI,1351636,LISTED,developer,T1-limited,rubric,T3,high,,,"In-window annual: FY2021 10-K filed 2022-03-29 (acc 0000950170-22-004805, ssti-20211231.htm), read directly. Carries the recurring false-alert / failure-to-alert accuracy risk factor (quoted under incident 255). No specific incident, court case, city, or individual named. 'subpoena' efts hits (S-1 e",Reliability of ShotSpotter alerts (the family of the DUI-alert reliability challenge) is disclosed generically; the public-defender subpoena / specific case is not named. => T3.,DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert
265,2021-04-01,"Uber Technologies, Inc.",UBER,1543151,PARENT,both,T1-limited,rubric,T3,low,,,In-window annuals: FY2020 10-K (filed 2021-03-01) and FY2021 10-K (filed 2022-02-24). efts q=%22facial recognition%22&ciks=0001543151 = ZERO hits across all Uber filings (the FRT/photo-verification driver-dismissal matter is not named and facial-recognition is never a named risk topic). Generic 'art,The Uber Eats facial-recognition mismatch/dismissal is not named and facial-recognition is absent from filings; however generic AI/ML platform risk language of the broader algorithmic-identity family is present in-window. Weak same-family match => T3 with low confidence (borderline T4).,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
