incident_id,matched_company,ticker,CIK,incident_date,severity_tier,event_short,edgar_evidence,pass1_code,pass1_confidence,pass2_code,final_code
TBD-11,"Amazon.com, Inc.",AMZN,1018724,2020-06-10,T2-moderate,Rekognition police facial-recognition moratorium,'Rekognition'=0 and 'facial recognition'=0 in-window; the facial-recognition moratorium not disclosed; Amazon AI risk factors do not cover this product family.,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-12,Rite Aid Corporation,RAD,84129,2023-12-19,T2-moderate,FTC bans Rite Aid facial-recognition use,"'facial recognition'=0; CIK 84129 confirmed = Rite Aid (now NEW RITE AID, LLC; former RITE AID CORP), delisted / in Chapter 11 during window (no tickers/exchanges). Incident not disclosed.",NO-DISCLOSURE-LOCATED,high,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-13,"Workday, Inc.",WDAY,1327811,2023-02-21,T2-moderate,Mobley v. Workday hiring-algorithm bias suit,'Mobley'=0; generic query returned server error (uncompleted); the hiring-algorithm discrimination suit not specifically disclosed.,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-14,"X Corp. (fmr Twitter, Inc.)",TWTR,1418091,2020-09-19,T2-moderate,Twitter image-cropping saliency bias,"'image cropping'=0; 'algorithm'=1 (2020 10-K, general). The saliency/image-cropping bias incident not addressed.",NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-15,"Meta Platforms, Inc.",META,1326801,2021-09-14,T2-moderate,Instagram teen mental-health harms (internal research),"'teen'=0; Meta post-2021 10-K carries harmful-content and user-safety/regulatory-scrutiny risk factors (same harm domain), but the internal teen-harm research is not referenced.",DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-16,Alphabet Inc.,GOOGL,1652044,2024-02-21,T2-moderate,Gemini image generation historical inaccuracies,'Gemini'=7 (product/earnings mentions); 2024 10-K carries generative-AI accuracy/reputation risk factors; the Feb-2024 image-generation controversy not specifically referenced.,DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-17,Microsoft Corporation,MSFT,789019,2023-02-16,T2-moderate,Bing/Sydney erratic chatbot behavior,'Bing'=4 (incl FY2023 10-K with AI risk factors); the Sydney erratic-behavior episode not specifically referenced.,DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-18,Wells Fargo & Company,WFC,72971,2022-03-10,T2-moderate,Mortgage-refinance algorithm racial disparity,"'algorithm'=2 (comp-plan exhibits, not topical); the refinance-algorithm racial-disparity finding not disclosed.",NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-19,Microsoft Corporation,MSFT,789019,2024-01-25,T2-moderate,Designer used to make nonconsensual deepfakes,'deepfake'=0; Microsoft in-window filings carry AI-output/misuse risk factors; the Designer deepfake episode not specifically referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-20,"Tesla, Inc.",TSLA,1318605,2019-10-01,T2-moderate,Smart Summon parking-lot collisions,'Smart Summon'=3 (product-launch mentions in Q3-2019 letter/10-Q/10-K); Autopilot risk language present; the collisions not referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-21,McDonald's Corporation,MCD,63908,2024-06-17,T1-limited,AI drive-thru order errors; IBM pilot ended,"'drive-thru' query returned server error (uncompleted); generic AI=8 (promotional earnings language, not risk disclosure). Incident not disclosed.",NO-DISCLOSURE-LOCATED,low,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-22,Microsoft Corporation,MSFT,789019,2023-10-31,T1-limited,MSN AI-generated news errors/poll,'AI-generated'=0; Microsoft carries AI-output risk factors in-window ('artificial intelligence'=8 nearby); the MSN news-error episode not specifically referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-23,Alphabet Inc.,GOOGL,1652044,2023-02-08,T1-limited,Bard demo factual error,"'Bard'=1 (2023 10-K, product + AI risk); the demo factual-error episode not specifically referenced.",DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-24,"Meta Platforms, Inc.",META,1326801,2022-11-17,T1-limited,Galactica science LLM withdrawn,'Galactica'=0; a 3-day research-demo withdrawal not disclosed.,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-25,Snap Inc.,SNAP,1564408,2023-08-15,T1-limited,My AI chatbot rogue story/behavior,'My AI'=10 (product mentions in investor letters); Snap carries AI-product risk factors; the rogue-behavior episode not specifically referenced.,DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-26,"Amazon.com, Inc.",AMZN,1018724,2021-12-28,T1-limited,Alexa suggests unsafe challenge to child,'Alexa' appears as product; generic AI query server-errored; Amazon carries AI/Alexa risk-factor language; the unsafe-challenge episode not specifically referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-27,"Meta Platforms, Inc.",META,1326801,2022-08-05,T1-limited,BlenderBot offensive/false outputs,'BlenderBot'=0; a research-demo chatbot's outputs not disclosed.,NO-DISCLOSURE-LOCATED,medium,NO-DISCLOSURE-LOCATED,NO-DISCLOSURE-LOCATED
TBD-28,"Tesla, Inc.",TSLA,1318605,2023-04-06,T2-moderate,Employees shared in-car camera footage (privacy),'privacy'=2 (incl 2023 10-K data-privacy risk factors); the employee camera-footage-sharing episode not specifically referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-29,Alphabet Inc.,GOOGL,1652044,2019-09-04,T2-moderate,YouTube COPPA children's-data FTC settlement,"'COPPA'=0,'Federal Trade Commission'=0; 2019 10-K read: the $170M YouTube COPPA settlement not disclosed; only generic minors'-data risk language present.",DISCLOSED-GENERIC,medium,DISCLOSED-GENERIC,DISCLOSED-GENERIC
TBD-30,Microsoft Corporation,MSFT,789019,2022-11-03,T1-limited,GitHub Copilot open-source code litigation,'Copilot' query server-errored across retries; Microsoft carries AI risk factors in-window ('artificial intelligence'=8); the GitHub Copilot litigation not specifically referenced.,DISCLOSED-GENERIC,low,DISCLOSED-GENERIC,DISCLOSED-GENERIC
