incident_id,incident_date,entity_slug,matched_company,ticker,CIK,listing_status,match_confidence,role,match_method,severity_tier,title,FLAG,REVIEW_verdict(OK/FIX),REVIEW_notes,in_analytical_sample,reviewed_at
117,2020-02-24,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops",FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
102,2020-03-23,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,T2-moderate,"Personal voice assistants struggle with black voices, new study shows",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
311,2020-05-02,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
255,2020-05-31,shotspotter,"SoundThinking, Inc.",SSTI,1476470,LISTED,MED,developer,crosswalk,UNSCORED,Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case,MED-listed,OK-note,"IPO as ShotSpotter, Inc.; renamed SoundThinking April 2023 — same registrant and CIK, so pre-rename incidents map correctly",True,revision-1
367,2020-06-17,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,T2-moderate,"iGPT, SimCLR Learned Biased Associations from Internet Training Data",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
113,2020-06-27,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
144,2020-06-28,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T1-limited,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
224,2020-07-01,wechat,,,,FOREIGN,,developer,crosswalk,UNSCORED,WeChat Pay's Facial Recognition Security Evaded by Scammers Using Victims’ Social Media Content,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
331,2020-08-05,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,Bug in Instagram’s “Related Hashtags” Algorithm Allegedly Caused Disproportionate Treatment of Political Hashtags,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
103,2020-09-18,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,T2-moderate,Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias,DELISTED,OK-note,"Twitter, Inc. was still listed on the incident date (delisted 2022-10-27); excluded under the blanket delisted-issuer rule. Conservative over-exclusion: it removes an eligible incident rather than admitting an ineligible one",False,revision-1
366,2020-09-20,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,Suicide Clips Evaded TikTok's Automated Moderation in Coordinated Attack,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
84,2020-10-09,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
348,2020-11-01,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
133,2020-12-15,tiktok,,,,FOREIGN,,both,crosswalk,T1-limited,Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
132,2020-12-27,tiktok,,,,FOREIGN,,both,crosswalk,T2-moderate,TikTok’s Content Moderation Allegedly Failed to Adequately Take down Videos Promoting Eating Disorders,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
141,2021-02-05,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
286,2021-02-26,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok’s ""For You"" Allegedly Pushed Fatal “Blackout” Challenge Videos to Two Young Girls",FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
265,2021-04-01,uber-eats,"Uber Technologies, Inc.",UBER,1543151,PARENT,MED,both,crosswalk,UNSCORED,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
347,2021-05-06,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew",parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
240,2021-06-29,github,Microsoft Corporation,MSFT,789019,PARENT,MED,both,crosswalk,UNSCORED,"GitHub Copilot, Copyright Infringement and Open Source Licensing",parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
343,2021-07-11,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Facebook, Instagram, and Twitter Failed to Proactively Remove Targeted Racist Remarks via Automated Systems",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
438,2021-09-17,huawei,,,,FOREIGN,,developer,crosswalk,UNSCORED,Henan Authorities Reportedly Commissioned Facial Recognition System to Track Journalists and International Students,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
149,2021-11-02,zillow,"Zillow Group, Inc.",ZG,1617640,LISTED,HIGH,deployer,crosswalk,T3-severe,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
256,2021-11-07,shotspotter,"SoundThinking, Inc.",SSTI,1476470,LISTED,MED,developer,crosswalk,UNSCORED,DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert,MED-listed,OK-note,"IPO as ShotSpotter, Inc.; renamed SoundThinking April 2023 — same registrant and CIK, so pre-rename incidents map correctly",True,revision-1
300,2022-01-15,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""For You"" Algorithm Allegedly Abused by Online Personality to Promote Anti-Women Hate",FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
187,2022-02-04,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,developer,crosswalk,UNSCORED,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
203,2022-02-10,uber,"Uber Technologies, Inc.",UBER,1543151,LISTED,HIGH,both,crosswalk,UNSCORED,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
181,2022-02-11,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle",parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
400,2022-02-23,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google Search Returned Fewer Results for Abortion Services in Rural Areas,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
185,2022-03-01,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""For You"" Algorithm Directed New Users towards Disinformation about the War in Ukraine",FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
427,2022-03-15,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Taxis' Sudden Braking Allegedly Put People at Risk,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
175,2022-04-01,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
389,2022-04-05,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
178,2022-04-21,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport",sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
253,2022-05-18,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco",parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
293,2022-06-03,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
460,2022-06-12,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise AV Ran Over Fire Hose in Active Fire Scene,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
1436,2022-06-23,integra-lifesciences,Integra LifeSciences Holdings,IART,917520,LISTED,MED,developer,crosswalk,UNSCORED,AI-Enabled TruDi Navigation System Was Alleged to Have Contributed to Patient's Stroke During June 2022 Sinus Procedure,MED-listed,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
398,2022-08-15,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Autopilot Misidentified On-Road Horse-Drawn Carriage,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
303,2022-08-21,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google’s Automated Child Abuse Detection Wrongfully Flagged a Parent’s Naked Photo of His Child,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
313,2022-08-25,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,BlenderBot 3 Cited Dutch Politician as a Terrorist,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
397,2022-09-11,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,Misinformation Reported in TikTok's Search Results Despite Moderation by AI and Human,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
350,2022-09-13,serve-robotics,Serve Robotics Inc.,SERV,1826681,LISTED,MED,both,crosswalk,UNSCORED,Delivery Robot Rolled Through Crime Scene,MED-listed,FIX,issuer was not an SEC periodic-report filer at the incident date — became an SEC reporting company at its August 2023 reverse merger; no periodic-report history before that date; incident leaves the corrected sample,True,revision-1
399,2022-11-15,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Meta AI's Scientific Paper Generator Reportedly Produced Inaccurate and Harmful Content,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
411,2022-11-27,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,UNSCORED,Chinese Accounts Spammed Twitter Feed Allegedly to Obscure News of Protests,DELISTED,OK-excluded,NYSE-listed until the 27 October 2022 take-private,False,revision-1
447,2022-12-19,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,"Footballer's ""X-Rated"" Comment Created by Instagram's Mistranslation",parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
446,2023-01-01,shotspotter,"SoundThinking, Inc.",SSTI,1476470,LISTED,MED,developer,crosswalk,UNSCORED,ShotSpotter Failed to Alert Authorities of Mass Shooting in North Carolina,MED-listed,OK-note,"IPO as ShotSpotter, Inc.; renamed SoundThinking April 2023 — same registrant and CIK, so pre-rename incidents map correctly",True,revision-1
453,2023-01-03,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,UNSCORED,Twitter's AI Moderation Tool Misidentified Rockets as Pornography,DELISTED,OK-excluded,NYSE-listed until the 27 October 2022 take-private,False,revision-1
459,2023-01-21,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
679,2023-02-20,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,A Purported Deepfake of Senator Elizabeth Warren Circulates Allegedly Saying Republicans Should Not Vote,DELISTED,OK-excluded,NYSE-listed until the 27 October 2022 take-private,False,revision-1
608,2023-02-28,navihealth,UnitedHealth Group Inc.,UNH,731766,PARENT,MED,developer,crosswalk,UNSCORED,UnitedHealth Accused of Deploying  Allegedly Flawed AI to Deny Medical Coverage,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
997,2023-02-28,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Meta and OpenAI Accused of Using LibGen’s Pirated Books to Train AI Models,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
1528,2023-05-19,integra-lifesciences,Integra LifeSciences Holdings,IART,917520,LISTED,MED,developer,crosswalk,UNSCORED,AI-Enabled TruDi Navigation System Was Alleged to Have Contributed to Patient's Stroke During May 2023 Sinuplasty,MED-listed,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
560,2023-06-23,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla on Autopilot Struck Parked Work Truck on Highway in Pennsylvania,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
581,2023-06-24,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google Ads Allegedly Serving Content on AI-Generated Misinformation Sites,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
595,2023-08-11,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Driverless Cruise Cars Immobilized in San Francisco Traffic Jam,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
563,2023-08-14,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Robotaxi Initially Blamed for Ambulance Delay in Case Where Patient Later Died; Subsequent Reports Clear Cruise of Fault,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
758,2023-09-11,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,deployer,crosswalk,UNSCORED,Teen's Overdose Reportedly Linked to Meta's AI Systems Failing to Block Ads for Illegal Drugs,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
726,2023-10-02,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,A Self-Driving Cruise Robot Taxi Reportedly Struck and Dragged a Pedestrian 20 Feet,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
570,2023-10-04,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Messenger AI Stickers Generate Ethical and Content Moderation Concerns,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
596,2023-10-17,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise's Autonomous Vehicles Allegedly Engaging in Risky Behavior Near Pedestrians,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
614,2023-11-02,google-bard,Alphabet Inc.,GOOGL,1652044,PARENT,MED,developer,crosswalk,T2-moderate,Google Bard Allegedly Generates False Allegations Against Consulting Firms Used in Research Presented in Australian Parliamentary Inquiry,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
731,2023-12-01,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,developer,crosswalk,UNSCORED,Purportedly Hallucinated Software Packages with Potential Malware Reportedly Downloaded Thousands of Times by Developers,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
619,2023-12-20,rite-aid,Rite Aid Corporation,RAD,84129,DELISTED,HIGH,deployer,crosswalk,T2-moderate,Rite Aid Facial Recognition Disproportionately Misidentified Minority Shoppers as Shoplifters,DELISTED,OK-excluded,NYSE-listed until the October 2023 Chapter 11 delisting,False,revision-1
655,2024-01-11,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Scams Reportedly Impersonating Wealthy Investors Proliferating on Facebook,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
637,2024-01-31,soundthinking,"SoundThinking, Inc.",SSTI,1476470,LISTED,MED,developer,crosswalk,UNSCORED,Gunshot Detection Technology ShotSpotter (now SoundThinking) Reportedly Only Has 47% Accuracy in Chicago System,MED-listed,OK-note,"IPO as ShotSpotter, Inc.; renamed SoundThinking April 2023 — same registrant and CIK, so pre-rename incidents map correctly",True,revision-1
853,2024-02-03,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,Two Passengers Report Feeling Trapped in Waymo Car During Sensor Obstruction,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
647,2024-02-06,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,A Self-Driving Waymo Robotaxi Reportedly Collided with a Bicyclist,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
641,2024-02-20,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,Nonconsensual Deepfake Porn of Bobbi Althoff Spreads Rapidly on X,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
719,2024-04-04,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,both,crosswalk,UNSCORED,Grok AI on X Created and Promoted False Iran Missile Strike News,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
712,2024-04-26,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Meta AI Hallucinates Harassment Allegations Against New York Politicians,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
704,2024-05-23,thomson-reuters,Thomson Reuters Corporation,TRI,1075124,FOREIGN,MED,developer,crosswalk,UNSCORED,Study Highlights Persistent Hallucinations in Legal AI Systems,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
788,2024-06-20,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Instagram's Algorithm Reportedly Recommended Sexual Content to Teenagers' Accounts,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
790,2024-06-21,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,Unrestricted AI Avatar Tool Accidentally Released by TikTok Permits Recitation of Hitler Quotes and Other Harmful Speech,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
821,2024-07-07,baidu,"Baidu, Inc.",BIDU,1329099,FOREIGN,MED,both,crosswalk,UNSCORED,Baidu Robotaxi Allegedly Involved in Collision with Pedestrian in Wuhan,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
742,2024-07-13,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,Grok AI Model Reportedly Fails to Produce Reliable News in Wake of Trump Assassination Attempt,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
760,2024-07-21,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,False Election Data on Kamala Harris Reportedly Circulated via Grok AI Chatbot,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
756,2024-07-26,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,Deepfake of Kamala Harris Saying Damaging Comments Circulates on X and Is Amplified by Elon Musk,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
761,2024-08-08,tiktok,,,,FOREIGN,,developer,crosswalk,UNSCORED,TikTok AI System Used to Amplify Election Disinformation by Foreign Networks,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
794,2024-08-13,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,Reported Glitch in Waymo Self-Driving Cars Purportedly Triggers Regular All-Night Honking in San Francisco,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
762,2024-08-14,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,developer,crosswalk,UNSCORED,Grok AI Reportedly Generates Offensive and Violent Images Without Proper Safeguards,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
770,2024-08-16,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Microsoft Copilot Falsely Accuses Journalist Martin Bernklau of Crimes,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
775,2024-09-02,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,Elon Musk Reportedly Shared an AI-Generated Image Depicting Kamala Harris Dressed as a Communist Ruler,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
854,2024-09-30,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,Waymo Driverless Taxi Allegedly Stalled During Pedestrian Harassment Incident in San Francisco,parent-map,OK,subsidiary-to-listed-parent mapping; parent control confirmed as of the incident date at revision,True,revision-1
859,2024-10-30,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,AI Models Reportedly Found to Provide Misinformation on Election Processes in Spanish,sample,OK,"direct slug-to-registrant match, high confidence; CIK verified in the coding record",True,revision-1
862,2024-11-03,x-(twitter),X Corp. (fmr Twitter),TWTR,1418091,DELISTED,HIGH,deployer,crosswalk,UNSCORED,Purportedly AI-Generated Video Allegedly Depicts Martin Luther King Jr. Supporting Donald Trump,DELISTED,OK-excluded,"private successor to Twitter, Inc.; files no periodic reports",False,revision-1
869,2024-11-04,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,TikTok Algorithms Allegedly Linked to Minors' Exposure to Harmful Content,FOREIGN,OK-excluded,foreign private issuer (20-F/6-K); correctly outside the domestic-filer sample,False,revision-1
