incident_id,incident_date,stratum,aiid_title,aiid_summary,organizations_named_in_aiid,second_coder_issuer,second_coder_role,second_coder_attribution_basis,second_coder_confidence,second_coder_notes
161,2019-04-03,single-candidate-large-issuer,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines,Facebook's housing and employment ad delivery process allegedly resulted in skews in exposure for some users along demographic lines such as gender and racial identity.,facebook,,,,,
168,2022-03-01,multi-candidate,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation Outputs","Collaborative filtering prone to popularity bias, resulting in overrepresentation of popular items in the recommendation outputs.",facebook; linkedin; youtube; twitter; netflix,,,,,
175,2022-04-01,parent-linked,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,"An autonomous Chevy Bolt operated by Cruise was pulled over in San Francisco, and as the police attempted to engage with the car, it reportedly bolted off, pulled over again, and put on its hazards lights on at a point farther down the road.",cruise,,,,,
203,2022-02-10,small-issuer,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US,"Uber launched a new but opaque algorithm to determine drivers' pay in the US which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.",uber,,,,,
240,2021-06-29,parent-linked,"GitHub Copilot, Copyright Infringement and Open Source Licensing",Users of GitHub Copilot can produce source code subject to license requirements without attributing and licensing the code to the rights holder.,github; programmers,,,,,
268,2020-03-16,multi-candidate,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts,"Automated permanent removal of violating social media content, such as terrorism, violent extremism, and hate speech, without archival has allegedly hindered the potential use of this content for investigating serious crimes and hampered efforts in criminal accountability.",youtube; twitter; facebook,,,,,
281,2019-02-04,parent-linked,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm,"Terms-of-service-violating videos related to suicide and self-harm reportedly bypassed YouTube’s content moderation algorithms, allegedly resulting in exposure of graphic content to young users via recommended videos.",youtube,,,,,
305,2019-02-01,parent-linked,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content,YouTube’s recommendation system and its focus on views and watched time were alleged by an advocacy group to have driven people towards climate denial and misinformation videos.,youtube,,,,,
311,2020-05-02,parent-linked,YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference,"YouTube’s automated content moderation tool erroneously removed The Women of Sex Tech conference’s live-streamed event and banned the conference from the platform, despite not violating the platform’s sexual content policies.",youtube,,,,,
337,2021-04-17,single-candidate-large-issuer,"Tesla Model S on ACC Crashed into Tree in Texas, Killing Two People","A 2019 Tesla Model S was reportedly traveling on Adaptive Cruise Control (ACC) at high speed before crashing into a tree near The Woodlands in Spring, Texas, killing two people.",tesla,,,,,
343,2021-07-11,multi-candidate,"Facebook, Instagram, and Twitter Failed to Proactively Remove Targeted Racist Remarks via Automated Systems","Facebook's, Instagram's, and Twitter's automated content moderation failed to proactively remove racist remarks and posts directing at Black football players after finals loss, allegedly largely relying on user reports of harassment.",facebook; instagram; twitter,,,,,
347,2021-05-06,parent-linked,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew","A Waymo self-driving taxi car was reportedly shown on video stranded on a road in Arizona while carrying a passenger, suddenly driving away from the company's roadside assistance worker, and ended up being stuck farther down the road.",waymo,,,,,
348,2020-11-01,parent-linked,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately,YouTube's recommendation algorithm allegedly pushed 2020's US Presidential Election fraud content to users most skeptical of the election's legitimacy disproportionately compared to least skeptical users.,youtube,,,,,
350,2022-09-13,small-issuer,Delivery Robot Rolled Through Crime Scene,A Serve Robotics delivery robot was shown on video rolling through a crime scene blocked off by police tape.,serve-robotics,,,,,
354,2020-06-20,small-issuer,Uber Allegedly Violated GDPR by Failing to Provide Sufficient Notice on Automated Profiling for Drivers,"Uber was alleged in a lawsuit to have provided incomplete notice about automated decision-making and profiling for drivers such as information about their driving behavior, and use of phone.",uber,,,,,
359,2021-05-23,multi-candidate,"Facebook, Instagram, and Twitter Cited Errors in Automated Systems as Cause for Blocking pro-Palestinian Content on Israeli-Palestinian Conflict","Facebook, Instagram, and Twitter wrongly blocked or restricted millions of pro-Palestinian posts and accounts related to the Israeli-Palestinian conflict, citing errors in their automated content moderation system.",facebook; instagram; twitter,,,,,
364,2020-04-15,small-issuer,Walmart's Bagging-Detection False Positives Exposed Workers to Health Risk,Walmart's theft-deterring bagging-detection system allegedly exposed workers to health risks during the coronavirus pandemic when its false positives prompted workers to unnecessarily step in to resolve the issue.,walmart; everseen,,,,,
389,2022-04-05,parent-linked,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency,A fire truck in San Francisco responding to a fire was blocked from passing a doubled-parked garbage truck by a self-driving Cruise car on the opposing lane which stayed put and did not reverse to clear the lane.,cruise,,,,,
427,2022-03-15,parent-linked,Cruise Taxis' Sudden Braking Allegedly Put People at Risk,"Cruise's autonomous taxis slowed suddenly, braked, and were hit from behind, allegedly becoming unexpected roadway obstacles and potentially putting passengers and other people at risk.",cruise,,,,,
459,2023-01-21,parent-linked,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses,Local firefighters were only able to stop a Cruise AV from driving over fire hoses that were in use in an active fire scene when they shattered its front window.,cruise,,,,,
460,2022-06-12,parent-linked,Cruise AV Ran Over Fire Hose in Active Fire Scene,A Cruise AV ran over a fire hose that was being used in an active firefighting area.,cruise,,,,,
475,2021-06-02,multi-candidate,McDonald's Reportedly Ends IBM Partnership After AI Drive-Thru Ordering Errors at U.S. Locations,"Between 2021 and mid-2024, McDonald's reportedly piloted an AI-enabled voice ordering system that was developed with IBM and based on its 2019 acquisition of Apprente. It was reportedly deployed at at over 100 U.S. drive-thrus. Social media posts alleged frequent misorders, such ",mcdonald's; ibm,,,,,
489,2019-06-03,small-issuer,Workday's AI Tools Allegedly Enabled Employers to Discriminate against Applicants of Protected Groups,"Workday's algorithmic screening systems were alleged in a lawsuit allowing employers to discriminate against African-Americans, people over 40, and people with disabilities.",workday,,,,,
501,2019-06-03,parent-linked,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,"An elderly Wisconsin woman was algorithmically determined to have a rapid recovery, an output which the insurer based on to cut off payment for her treatment despite medical notes showing her still experiencing debilitating pain.",security-health-plan; navihealth,,,,,
534,2021-04-29,single-candidate-large-issuer,Facebook Alleged in Lawsuit Misleading Public about Effects of Algorithms on Children,"Facebook was alleged in a lawsuit by the Ohio Attorney General purposely misleading the public about the control of its algorithms and their negative effects on children's well-being, which violated securities law.",facebook; meta,,,,,
539,2023-03-11,small-issuer,Snapchat's My AI Reported for Lacking Protection for Children,"Snapchat's ChatGPT-powered My AI was reported for lacking safeguards for children, such as telling a user who tested the chatbot by pretending to sign up as a 13-year-old girl to lie to her parents about having a romantic getaway with an older man, and sharing tips on how to cove",snapchat; openai,,,,,
587,2023-05-22,multi-candidate,Apparent Failure to Accurately Label Primates in Image Recognition Software Due to Alleged Fear of Racial Bias,"Eight years after Google Photos mislabeled images of Black individuals as ""gorillas,"" image recognition software by Google, Apple, Amazon, and Microsoft still shows signs of either avoiding or inaccurately categorizing primates. Tests reveal that Google and Apple Photos refrain f",google; apple; amazon; microsoft,,,,,
591,2023-07-24,small-issuer,Cigna Algorithm PXDX Allegedly Rejected Thousands of Patient Claims En Masse in Breach of California Law,"Cigna health insurer faces a class-action lawsuit for allegedly using the PXDX (""procedure-to-diagnosis"") algorithm to automatically reject over 300,000 patient claims in violation of California law, prompting two members to file the lawsuit seeking damages and a jury trial. Cign",cigna,,,,,
596,2023-10-17,parent-linked,Cruise's Autonomous Vehicles Allegedly Engaging in Risky Behavior Near Pedestrians,"Cruise's driverless vehicles are under federal investigation for possibly failing to exhibit due caution around crosswalks and pedestrians, with reports including one severe injury incident.",cruise,,,,,
608,2023-02-28,parent-linked,UnitedHealth Accused of Deploying  Allegedly Flawed AI to Deny Medical Coverage,"UnitedHealthcare allegedly used a faulty AI algorithm with a 90% error rate to override doctors' recommendations and deny health coverage. This AI, developed by NaviHealth, reportedly led to premature discharge from care facilities and substantial out-of-pocket expenses for patie",unitedhealthcare; navihealth,,,,,
614,2023-11-02,parent-linked,Google Bard Allegedly Generates False Allegations Against Consulting Firms Used in Research Presented in Australian Parliamentary Inquiry,"Australian academics reportedly used Google Bard AI to generate case studies for a parliamentary inquiry, leading to false allegations against major consultancy firms. The AI-generated misinformation prompted an apology from the academics, causing reputational harm for all partie",james-guthrie; google-bard,,,,,
646,2024-02-22,small-issuer,Snapchat's Algorithm Alleged to Link Minor with Sex Offenders,"A judge ruled Snapchat not liable under Section 230 after its algorithm connected a minor with convicted sex offenders on multiple occasions, leading to sexual assaults first in 2019 and again in 2021. The platform's ""Quick Add"" feature was implicated in facilitating the connecti",snapchat,,,,,
718,2024-04-06,multi-candidate,"OpenAI, Google, and Meta Alleged to Have Overstepped Legal Boundaries for Training AI","In late 2021, OpenAI and other tech giants like Google and Meta reportedly faced data shortages for training AI models. OpenAI is said to have developed a tool called Whisper to transcribe over one million hours of YouTube videos, potentially violating YouTube’s terms of service.",openai; meta; google,,,,,
726,2023-10-02,parent-linked,A Self-Driving Cruise Robot Taxi Reportedly Struck and Dragged a Pedestrian 20 Feet,"Cruise has settled for between $8 million and $12 million with a pedestrian dragged by one of its autonomous vehicles in October 2023. The incident, where the pedestrian was initially hit by a human-driven car and then dragged 20 feet by the Cruise vehicle, led to the suspension ",cruise,,,,,
731,2023-12-01,multi-candidate,Purportedly Hallucinated Software Packages with Potential Malware Reportedly Downloaded Thousands of Times by Developers,"Large language models have reportedly hallucinated non-existent software package names, some of which were subsequently uploaded to public repositories and incorporated into real codebases. In one case, a package named huggingface-cli, which was purported to have been originally ",developers-using-ai-generated-suggestions; bar-lanyado; openai; meta; google; deepseek-ai; cohere; bigscience,,,,,
734,2024-06-18,multi-candidate,Leading AI Models Reportedly Found to Mimic Russian Disinformation in 33% of Cases and to Cite Fake Moscow News Sites,"An audit by NewsGuard revealed that leading chatbots, including ChatGPT-4, You.com’s Smart Assistant, and others, repeated Russian disinformation narratives in one-third of their responses. These narratives originated from a network of fake news sites created by John Mark Dougan ",you.com; xai; perplexity; openai; mistral; microsoft; meta; john-mark-dougan; inflection; google; anthropic,,,,,
744,2024-06-25,multi-candidate,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are f",cios; enterprise-teams; companies-in-general; microsoft; google,,,,,
748,2024-06-19,small-issuer,Erroneous Declined Transaction Notification by PayPal AI Assistant,"On July 13th, 2024, a user reported an incident involving PayPal's generative AI chatbot. The chatbot allegedly incorrectly informed the user of a declined transaction that never occurred, causing confusion and prompting a call to customer service for clarification. This false al",paypal,,,,,
750,2024-07-22,multi-candidate,AI Chatbots Reportedly Inaccurately Conveyed Real-Time Political News,"Over a week of back-to-back, significant breaking political news stories, including the Trump rally shooting and Biden’s campaign withdrawal, AI chatbots reportedly failed to provide accurate real-time updates. Most chatbots gave incorrect or outdated information, demonstrating t",perplexity; openai; meta; google,,,,,
791,2024-09-09,single-candidate-large-issuer,Google AI Error Prompts Parents to Use Fecal Matter in Child Training Exercise,"Google's AI Overview feature mistakenly advised parents to use human feces in a potty training exercise, misinterpreting a method that uses shaving cream or peanut butter as a substitute. This incident is another example of an AI failure in grasping contextual nuances that can le",google; ai-overview,,,,,
794,2024-08-13,parent-linked,Reported Glitch in Waymo Self-Driving Cars Purportedly Triggers Regular All-Night Honking in San Francisco,"Waymo self-driving cars in San Francisco's South of Market neighborhood reportedly began honking at each other late at night, disturbing residents' sleep. The autonomous vehicles, reportedly using a parking lot for ride pauses, triggered honking due to a purported glitch in their",waymo,,,,,
846,2021-10-06,multi-candidate,Social Media Algorithms Amplified Disinformation Campaign in Honduras Election,"In October 2021, a coordinated network of over 317 fake Twitter accounts leveraged AI-driven algorithms to amplify disinformation about the Honduran presidential election, targeting opposition candidate Xiomara Castro. The campaign spread false narratives to suppress voter turnou",national-party-of-honduras-supporters; juan-orlando-hernandez-supporters; unknown-twitter-users; unknown-facebook-users; x-(twitter); meta; facebook,,,,,
853,2024-02-03,parent-linked,Two Passengers Report Feeling Trapped in Waymo Car During Sensor Obstruction,"During a nighttime Waymo ride in San Francisco, an individual reportedly blocked the sensors of an autonomous vehicle, leaving passengers Robert Moreno and his husband feeling trapped and unsure how to proceed. Waymo's support team reportedly advised the riders to stay inside the",waymo,,,,,
859,2024-10-30,multi-candidate,AI Models Reportedly Found to Provide Misinformation on Election Processes in Spanish,"An analysis reportedly found that multiple AI models provided inaccurate responses to election-related questions, with 52% of Spanish-language answers and 43% of English-language answers containing misinformation or omissions. Errors included misidentifying voting processes and p",anthropic; google; meta; openai; mistral,,,,,
881,2024-12-27,multi-candidate,Waymo Robotaxi Allegedly Collides With Serve Robotics Delivery Bot in Los Angeles,"A Waymo robotaxi reportedly collided with a Serve Robotics delivery robot at a West Hollywood intersection on December 27th, 2024. The delivery robot reportedly moved into the vehicle turning lane as the robotaxi approached, leading to a low-speed collision.",waymo; serve-robotics,,,,,
967,2025-03-06,multi-candidate,Amazon and Google AI Allegedly Promote Mein Kampf as 'a True Work of Art' in Search Results,"Amazon's AI-generated review summary allegedly misrepresented customer feedback on Mein Kampf by describing it as ""a true work of art."" Google's search algorithm then surfaced this misleading AI-generated text as a featured snippet, which in turn amplified the error. This inciden",google; amazon,,,,,
968,2022-02-24,multi-candidate,"'Pravda' Network, Successor to 'Portal Kombat,' Allegedly Seeding AI Models with Kremlin Disinformation","A purported Moscow-based disinformation network, Pravda, allegedly infiltrated AI models by flooding the internet with pro-Kremlin falsehoods. A NewsGuard audit found that 10 major AI chatbots repeated these narratives 33% of the time, citing Pravda sources as legitimate. The tac",tigerweb; storm-1516; russian-state-media; pro-russian-information-manipulation-actors; pravda-disinformation-network; portal-kombat; john-mark-dougan; information-manipulation-actors; government-of-russia; you.com; xai; perplexity; openai; mistral; microsoft; meta; inflection; google; anthropic,,,,,
1157,2025-07-14,single-candidate-large-issuer,Google Gemini Reportedly Generates Sexual Role‑Play for Account Registered as Minor,"In spring 2025, a journalist reportedly created a Google Gemini account registered to a fictitious 13‑year‑old to test the chatbot's teen‑safety protections. Despite added safeguards, prompt manipulation and content‑summarization requests reportedly bypassed filters, leading Gemi",google-gemini; google,,,,,
1178,2025-07-21,single-candidate-large-issuer,Google Gemini CLI Reportedly Deletes User Files After Misinterpreting Command Sequence,"Product manager Anuraag Gupta reported that Google's Gemini CLI AI coding assistant permanently deleted his files after misinterpreting a failed directory creation command. The tool allegedly proceeded as if the directory existed, causing a series of move operations that overwrot",google,,,,,
1186,2025-07-31,multi-candidate,"Reported Public Exposure of Over 100,000 LLM Conversations via Share Links Indexed by Search Engines and Archived","Across 2024 and 2025, the share features in multiple LLM platforms, including ChatGPT, Claude, Copilot, Qwen, Mistral, and Grok, allegedly exposed user conversations marked ""discoverable"" to search engines and archiving services. Over 100,000 chats were reportedly indexed and lat",xai; openai; mistral; microsoft; anthropic; alibaba,,,,,
1188,2025-06-25,multi-candidate,Multiple LLMs Reportedly Generated Responses Aligning with Purported CCP Censorship and Propaganda,"On June 25, 2025, the American Security Project produced a report outlining how several major U.S. LLMs, including ChatGPT, Microsoft Copilot, Google Gemini, and Grok, sometimes generated responses aligned with Chinese Communist Party propaganda or censorship when prompted in Eng",xai; openai; microsoft; google; deepseek,,,,,
1210,2025-08-21,multi-candidate,Malicious Nx npm Packages Reportedly Weaponize AI Coding Agents for Data Exfiltration,"Malicious versions of the popular Nx monorepo tool and plugins were reportedly published to npm after attackers compromised its CI workflow. The malware's postinstall script reportedly harvested credentials and exfiltrated data, reportedly weaponizing local AI coding agents such ",malicious-actors-compromising-nx's-cicd-pipeline-and-publishing-tainted-npm-packages; anthropic; google; amazon,,,,,
1248,2025-10-22,single-candidate-large-issuer,"Google's Bard, Gemini, and Gemma AI Systems Allegedly Generated Defamatory Claims About Activist Robby Starbuck, Prompting Lawsuit","Conservative activist Robby Starbuck reportedly filed a defamation lawsuit against Google, alleging its Bard, Gemini, and Gemma AI systems generated false statements linking him to sexual assault and extremist activity. Starbuck claims the outputs caused reputational harm and sou",google,,,,,
1269,2025-10-27,parent-linked,Waymo Autonomous Vehicle Reportedly Ran Over and Killed a Cat in San Francisco,"A Waymo autonomous taxi in San Francisco's Mission District reportedly ran over a well-known neighborhood cat, Kit Kat. The vehicle was reportedly pulling away from a pickup when the cat darted under it, according to Waymo. Local residents reportedly attempted to intervene, and a",waymo,,,,,
1279,2025-11-18,multi-candidate,Prominent AI Chatbots Allegedly Produced Incorrect UK Financial and ISA Guidance,"Several major AI chatbots, including ChatGPT, Copilot, Gemini, and Meta AI, were reportedly found to have provided incorrect or misleading financial and insurance guidance for UK users. The systems allegedly advised exceeding ISA limits, misstated tax rules, gave wrong travel ins",openai; microsoft; meta; google; large-language-model-developers; chatbot-developers,,,,,
1300,2025-12-04,parent-linked,"Waymo Self-Driving Vehicles Reportedly Passed Stopped School Buses at Least 19 Times, Prompting NHTSA Probe",Officials in Texas reportedly claimed that Waymo's self-driving vehicles illegally passed stopped school buses at least 19 times during the 2025 school year. The National Highway Traffic Safety Administration (NHTSA) reportedly sought additional information following reports that,waymo,,,,,
1326,2025-12-20,parent-linked,Waymo Robotaxis Allegedly Contributed to Traffic Gridlock During San Francisco PG&E Power Outage,"Waymo's autonomous vehicle fleet reportedly contributed to traffic congestion in San Francisco after a PG&E substation fire cut power to nearly one-third of the city on December 20, 2025. As traffic signals went dark, Waymo vehicles requested remote confirmation checks at scale, ",waymo,,,,,
1337,2025-12-08,parent-linked,Waymo Robotaxi Reportedly Transported Undetected Person Trapped in Trunk in Los Angeles,"In Los Angeles, a Waymo autonomous taxi reportedly picked up a new rider while a man was trapped inside its trunk after a previous passenger left it open. The vehicle's AI systems reportedly did not detect the unauthorized occupant before dispatch. The rider reportedly discovered",waymo,,,,,
1436,2022-06-23,multi-candidate,AI-Enabled TruDi Navigation System Was Alleged to Have Contributed to Patient's Stroke During June 2022 Sinus Procedure,"Patient Erin Ralph allegedly suffered carotid-artery injury and a stroke after a June 23, 2022 sinus procedure in Texas in which surgeon Marc Dean reportedly used Acclarent's AI-enabled TruDi Navigation System. Ralph's lawsuit alleged TruDi misinformed Dean about the instrument's",marc-dean; surgical-teams-using-trudi-navigation-system; acclarent; ai-enabled-surgical-navigation-system-developers; ai-enabled-healthcare-system-developers; johnson-and-johnson; integra-lifesciences,,,,,
1492,2026-02-28,small-issuer,Purportedly AI-Enabled Targeting System Was Reportedly Implicated in Deadly U.S. Strike on Iranian Primary School,"During Operation Epic Fury, U.S. forces reportedly struck Shajareh Tayyebeh Primary School in Minab, Iran, killing at least 150 civilians, many of them children. Reporting said the school was on a U.S. target list and may have been mistaken for a military site amid possible relia",united-states-military; united-states-department-of-defense; united-states-central-command; palantir; anthropic,,,,,
1528,2023-05-19,multi-candidate,AI-Enabled TruDi Navigation System Was Alleged to Have Contributed to Patient's Stroke During May 2023 Sinuplasty,"Patient Donna Fernihough allegedly suffered carotid-artery damage and a same-day stroke during a May 19, 2023 balloon sinuplasty in Texas in which surgeon Marc Dean reportedly used Acclarent's AI-enabled TruDi Navigation System. Her lawsuit alleged the system's AI-assisted naviga",surgical-teams-using-trudi-navigation-system; marc-dean; integra-lifesciences; ai-enabled-surgical-navigation-system-developers; ai-enabled-healthcare-system-developers; acclarent,,,,,
1537,2025-02-16,parent-linked,Two Waymo Robotaxis Allegedly Contributed to Bike-Lane Collision That Injured San Francisco Cyclist,"San Francisco cyclist Jenifer Hanki alleged that on February 16, 2025, one driverless Waymo stopped beside a marked bike lane at a no-stopping curb without warning a passenger who opened a rear door into her path, while a second Waymo crossed into the lane and restricted her esca",waymo; robotaxi-operators; automated-driving-system-deployers; automated-driving-system-developers,,,,,
1541,2026-01-07,parent-linked,"Waymo Robotaxi Reportedly Entered Phoenix Light-Rail Tracks, Prompting Passenger to Exit","A Waymo robotaxi reportedly entered light-rail tracks in Phoenix on January 7, 2026, and stopped as a train approached, prompting its passenger to exit. The vehicle then continued along the tracks near another train. No collision or injury was reported.",waymo; robotaxi-operators; automated-driving-system-deployers; automated-driving-system-developers,,,,,
1543,2026-03-01,parent-linked,Waymo Robotaxi Reportedly Obstructed Ambulance Responding to Austin Mass Shooting,"During the response to a mass shooting on West Sixth Street in Austin, Texas, a Waymo robotaxi reportedly stopped across a street while traveling to pick up a passenger, briefly blocking an ambulance. Video reportedly showed the vehicle inching forward as police arrived; an offic",waymo; robotaxi-operators; automated-driving-system-deployers; automated-driving-system-developers,,,,,
1547,2026-04-11,parent-linked,Waymo Robotaxis Reportedly Entered Closed Freeway Construction Zones in Arizona and California,"Between April 11 and May 18, 2026, 13 Waymo robotaxis reportedly entered closed or active freeway construction zones in Phoenix and the San Francisco Bay Area after failing to recognize construction-zone closure controls. The vehicles allegedly continued into work areas at freewa",waymo; automated-driving-system-deployers; robotaxi-operators; automated-driving-system-developers,,,,,
1559,2022-06-22,small-issuer,Kalibrate Fuel Pricing Allegedly Enabled California Gas Station Operators to Coordinate Higher Pump Prices,Major gas station operators in California allegedly used Kalibrate Fuel Pricing to automate pump prices using competitor data and reduce price competition. A June 2026 complaint said the AI-based system increased gasoline prices by as much as 30 cents per gallon where adoption wa,marathon-petroleum; 7-eleven; speedway; eg-america; bp-products-north-america; travelcenters-of-america; walmart; sam's-club; circle-k; albertsons-companies; gas-station-operators; fuel-retailers; kalibrate; algorithmic-pricing-system-developers; software-developers,,,,,
1567,2026-03-22,small-issuer,Serve Robotics Delivery Robot Reportedly Crashed into Chicago Bus Shelter After Failing to Detect Glass,"A Serve Robotics delivery robot reportedly struck a glass bus shelter in Chicago's West Town neighborhood, shattering panels and scattering glass across the sidewalk. The company said all three sensor systems failed to detect the wall and later changed how its robots operate near",serve-robotics; delivery-robot-operators; autonomous-mobile-robot-operators; robotics-companies; delivery-robot-developers; autonomous-mobile-robot-developers,,,,,
1575,2026-01-20,multi-candidate,Eightfold AI Hiring Tools Allegedly Secretly Scored Job Applicants for Employers,"Two California job applicants reportedly filed a proposed class action alleging that Eightfold AI's hiring platform secretly gathered personal data, generated candidate reports, and scored applicants for employers without required notice or dispute rights. The complaint says Eigh",eightfold-ai; paypal; microsoft; employers-using-algorithmic-employment-screening-systems; algorithmic-employment-screening-system-developers,,,,,
1583,2026-07-04,parent-linked,Waymo Robotaxi Reportedly Caught Fire After Driving Over Firework in San Francisco,"An unoccupied Waymo robotaxi reportedly drove over a small firework near the 1200 block of Connecticut Street in San Francisco on July 4, 2026, and caught fire. No passengers were aboard and no injuries were reported. Waymo said it coordinated with the San Francisco Fire Departme",waymo; automated-driving-system-deployers; robotaxi-operators; automated-driving-system-developers,,,,,
1599,2026-05-09,parent-linked,Waymo Robotaxi Reportedly Remained Immobilized While Vandals Smashed Vehicle with Passenger Inside,"On May 9, 2026, two men reportedly stopped and vandalized a Waymo robotaxi carrying passenger Sherman Watson at Pierce and Lombard streets in San Francisco. The autonomous driving system reportedly remained immobilized after one man grabbed the bumper, and remote support declined",waymo; robotaxi-operators; automated-driving-system-deployers; automated-driving-system-developers,,,,,
