incident_id,incident_date,entity_slug,matched_company,ticker,CIK,listing_status,match_confidence,role,match_method,severity_tier,title
143,2021-02-16,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups
157,2021-03-15,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,T3-severe,"Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
139,2021-01-21,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,T2-moderate,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation
142,2021-02-11,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,Facebook's Advertisement Moderation System Allegedly Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers
149,2021-11-02,zillow,"Zillow Group, Inc.",ZG,1617640,LISTED,HIGH,deployer,crosswalk,T3-severe,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy
124,2019-10-24,optum,UnitedHealth Group Inc.,UNH,731766,PARENT,MED,developer,crosswalk,T3-severe,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs
159,2019-03-29,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks
127,2020-06-06,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,T1-limited,Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story
163,2021-11-21,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minority Groups
203,2022-02-10,uber,"Uber Technologies, Inc.",UBER,1543151,LISTED,HIGH,both,crosswalk,UNSCORED,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US
213,2020-07-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook’s Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates
175,2022-04-01,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco
178,2022-04-21,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport"
220,2020-11-11,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T3-severe,Facebook Mistakenly Blocked Small Business Ads
221,2022-03-07,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot
181,2022-02-11,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle"
209,2020-10-20,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode
215,2020-04-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation
208,2021-05-01,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout"
211,2021-12-11,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,developer,crosswalk,UNSCORED,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries
187,2022-02-04,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,developer,crosswalk,UNSCORED,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons"
185,2022-03-01,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""For You"" Algorithm Directed New Users towards Disinformation about the War in Ukraine"
218,2020-06-01,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway
197,2021-10-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months"
224,2020-07-01,wechat,,,,FOREIGN,,developer,crosswalk,UNSCORED,WeChat Pay's Facial Recognition Security Evaded by Scammers Using Victims’ Social Media Content
230,2019-03-01,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver"
228,2019-02-01,apple,Apple Inc.,AAPL,320193,LISTED,HIGH,both,crosswalk,UNSCORED,Apple Maps Allegedly Directed Ski Trip Couple Onto Unpaved Road in the Mountains
240,2021-06-29,github,Microsoft Corporation,MSFT,789019,PARENT,MED,both,crosswalk,UNSCORED,"GitHub Copilot, Copyright Infringement and Open Source Licensing"
271,2022-07-24,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah
268,2020-03-16,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts
255,2020-05-31,shotspotter,"SoundThinking, Inc.",SSTI,1351636,LISTED,MED,developer,crosswalk,UNSCORED,Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case
253,2022-05-18,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco"
256,2021-11-07,shotspotter,"SoundThinking, Inc.",SSTI,1351636,LISTED,MED,developer,crosswalk,UNSCORED,DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert
265,2021-04-01,uber-eats,"Uber Technologies, Inc.",UBER,1543151,PARENT,MED,both,crosswalk,UNSCORED,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
278,2022-08-07,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Meta’s BlenderBot 3 Chatbot Demo Made Offensive Antisemitic Comments
275,2020-06-11,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook’s Moderation Algorithm Banned Users for Historical Evidence of Slavery
285,2022-07-18,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google Lens’s Camera-Based Translation Feature Provided an Offensive Mistranslation of a Book Title in Korean
293,2022-06-03,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection
347,2021-05-06,waymo,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew"
350,2022-09-13,serve-robotics,Serve Robotics Inc.,SERV,1832483,LISTED,MED,both,crosswalk,UNSCORED,Delivery Robot Rolled Through Crime Scene
291,2021-05-28,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Allegedly Misled Customers about Autopilot and FSD Capabilities
292,2021-09-01,apple,Apple Inc.,AAPL,320193,LISTED,HIGH,both,crosswalk,UNSCORED,Apple’s AVs Reportedly Struggled to Navigate Streets in Silicon Valley Test Drives
300,2022-01-15,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok's ""For You"" Algorithm Allegedly Abused by Online Personality to Promote Anti-Women Hate"
318,2021-01-13,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Recommended Military Gear Ads Despite Pause on Weapons Accessories Ads
319,2019-12-29,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla on Autopilot Fatally Crashed into Parked Fire Truck in Indiana
305,2019-02-01,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content
282,2020-10-03,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook’s Algorithm Mistook an Advertisement of Onions as Sexual Suggestive Content
313,2022-08-25,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,BlenderBot 3 Cited Dutch Politician as a Terrorist
333,2021-03-17,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla on Autopilot Crashed Parked Michigan Police Car on Interstate
304,2021-11-03,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla on FSD Reportedly Drove into the Wrong Lane in California
331,2020-08-05,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,Bug in Instagram’s “Related Hashtags” Algorithm Allegedly Caused Disproportionate Treatment of Political Hashtags
337,2021-04-17,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla Model S on ACC Crashed into Tree in Texas, Killing Two People"
286,2021-02-26,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,"TikTok’s ""For You"" Allegedly Pushed Fatal “Blackout” Challenge Videos to Two Young Girls"
348,2020-11-01,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately
311,2020-05-02,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,UNSCORED,YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference
317,2020-03-17,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Bug in Facebook’s Anti-Spam Filter Allegedly Blocked Legitimate Posts about COVID-19
303,2022-08-21,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google’s Automated Child Abuse Detection Wrongfully Flagged a Parent’s Naked Photo of His Child
343,2021-07-11,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Facebook, Instagram, and Twitter Failed to Proactively Remove Targeted Racist Remarks via Automated Systems"
279,2019-07-01,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,TikTok’s “For You” Algorithm Exposed Young Users to Pro-Eating Disorder Content
281,2019-02-04,youtube,Alphabet Inc.,GOOGL,1652044,PARENT,MED,both,crosswalk,T2-moderate,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm
322,2019-12-07,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Model 3 Crashed into Police Patrol Car on Connecticut Highway
364,2020-04-15,walmart,Walmart Inc.,WMT,104169,LISTED,HIGH,deployer,crosswalk,UNSCORED,Walmart's Bagging-Detection False Positives Exposed Workers to Health Risk
367,2020-06-17,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,T2-moderate,"iGPT, SimCLR Learned Biased Associations from Internet Training Data"
371,2019-11-29,huawei,,,,FOREIGN,,developer,crosswalk,UNSCORED,Uganda Deployed Huawei's Facial Recognition to Monitor Political Opposition and Protests
393,2021-12-08,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,Facebook AI-Supported Moderation for Ads Failed to Detect Violating Content
363,2021-01-15,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook's Automated Moderation Mistakenly Flagged Landmark's Name as Offensive
400,2022-02-23,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google Search Returned Fewer Results for Abortion Services in Rural Areas
395,2021-03-02,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,deployer,crosswalk,UNSCORED,Amazon Forced Deployment of AI-Powered Cameras on Delivery Drivers
354,2020-06-20,uber,"Uber Technologies, Inc.",UBER,1543151,LISTED,HIGH,both,crosswalk,T3-severe,Uber Allegedly Violated GDPR by Failing to Provide Sufficient Notice on Automated Profiling for Drivers
353,2019-03-01,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla on Autopilot Crashed into Trailer Truck in Florida, Killing Driver"
362,2021-07-20,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook's Automated Moderation Flagged Gardening Group's Language Use by Mistake
359,2021-05-23,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Facebook, Instagram, and Twitter Cited Errors in Automated Systems as Cause for Blocking pro-Palestinian Content on Israeli-Palestinian Conflict"
372,2022-07-22,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Users Reported Security Issues with Google Pixel 6a's Fingerprint Unlocking
386,2019-07-03,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,UNSCORED,"Amazon’s ""Time Off Task"" System Made False Assumptions about Workers' Time Management"
389,2022-04-05,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency
397,2022-09-11,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,Misinformation Reported in TikTok's Search Results Despite Moderation by AI and Human
398,2022-08-15,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Autopilot Misidentified On-Road Horse-Drawn Carriage
399,2022-11-15,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Meta AI's Scientific Paper Generator Reportedly Produced Inaccurate and Harmful Content
401,2021-06-03,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,"Kannada Insulted by Google's Featured Answer as ""Ugliest Language in India"""
360,2021-10-15,mcdonald's,McDonald's Corporation,MCD,63908,LISTED,HIGH,deployer,crosswalk,T2-moderate,"McDonald's AI Drive-Thru Allegedly Collected Biometric Customer Data without Consent, Violating BIPA"
366,2020-09-20,tiktok,,,,FOREIGN,,both,crosswalk,UNSCORED,Suicide Clips Evaded TikTok's Automated Moderation in Coordinated Attack
411,2022-11-27,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,UNSCORED,Chinese Accounts Spammed Twitter Feed Allegedly to Obscure News of Protests
414,2020-01-18,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,T2-moderate,Facebook Gave Vulgar English Translation of Chinese President's Name
415,2020-07-28,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Provided Offensive Translation for King of Thailand's Birthday Ceremony
416,2022-12-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook's Job Ad Algorithm Allegedly Biased against Older and Female Workers
417,2019-11-15,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Feed Algorithms Exposed Low Digitally Skilled Users to More Disturbing Content
419,2022-12-01,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook's Automated Moderation Allowed Ads Threatening Election Workers to be Posted
427,2022-03-15,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise Taxis' Sudden Braking Allegedly Put People at Risk
431,2022-04-20,apple,Apple Inc.,AAPL,320193,LISTED,HIGH,both,crosswalk,UNSCORED,Robbers Accessed Drugged Gay Men's Bank Accounts Using Their Phones' Facial Recognition
434,2022-11-24,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Sudden Braking by Tesla Allegedly on Self-Driving Mode Caused Multi-Car Pileup in Tunnel
436,2022-12-28,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Driver Put Car on Autopilot Before Falling Asleep in Germany
438,2021-09-17,huawei,,,,FOREIGN,,developer,crosswalk,UNSCORED,Henan Authorities Reportedly Commissioned Facial Recognition System to Track Journalists and International Students
446,2023-01-01,shotspotter,"SoundThinking, Inc.",SSTI,1351636,LISTED,MED,developer,crosswalk,UNSCORED,ShotSpotter Failed to Alert Authorities of Mass Shooting in North Carolina
447,2022-12-19,instagram,"Meta Platforms, Inc.",META,1326801,PARENT,MED,both,crosswalk,UNSCORED,"Footballer's ""X-Rated"" Comment Created by Instagram's Mistranslation"
453,2023-01-03,twitter,"Twitter, Inc.",TWTR,1418091,DELISTED,HIGH,both,crosswalk,UNSCORED,Twitter's AI Moderation Tool Misidentified Rockets as Pornography
459,2023-01-21,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses
460,2022-06-12,cruise,General Motors Company,GM,1467858,PARENT,MED,both,crosswalk,UNSCORED,Cruise AV Ran Over Fire Hose in Active Fire Scene
463,2022-11-15,apple,Apple Inc.,AAPL,320193,LISTED,HIGH,both,crosswalk,UNSCORED,"Apple Devices Mistook Skiing Activities, Dialed False Distress Emergency Calls "
465,2022-03-03,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Private Medical Photos Were Reportedly Found in LAION-5B AI Training Dataset
467,2023-02-07,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google's Bard Shared Factually Inaccurate Info in Promo Video
468,2023-02-07,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,ChatGPT-Powered Bing Reportedly Had Problems with Factual Accuracy on Some Controversial Topics
470,2023-02-08,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing Chat Response Cited ChatGPT Disinformation Example
471,2019-06-22,meta,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Allegedly Failed to Police Hate Speech Content That Contributed to Ethnic Violence in Ethiopia
473,2023-02-08,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing Chat's Initial Prompts Revealed by Early Testers Through Prompt Injection
475,2021-06-02,mcdonald's,McDonald's Corporation,MCD,63908,LISTED,HIGH,deployer,crosswalk,UNSCORED,McDonald's Reportedly Ends IBM Partnership After AI Drive-Thru Ordering Errors at U.S. Locations
477,2023-02-14,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing Chat Tentatively Hallucinated in Extended Conversations with Users
489,2019-06-03,workday,"Workday, Inc.",WDAY,1327811,LISTED,HIGH,both,crosswalk,T2-moderate,Workday's AI Tools Allegedly Enabled Employers to Discriminate against Applicants of Protected Groups
501,2019-06-03,navihealth,UnitedHealth Group Inc.,UNH,731766,PARENT,MED,both,crosswalk,T3-severe,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman
503,2023-02-14,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing AI Search Tool Reportedly Declared Threats against Users
504,2023-02-08,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information
511,2023-02-12,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Microsoft's Bing Failed to Fetch Movie Showtimes Results Due to Date Confusion
522,2019-07-10,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,"Facebook Political Ad Delivery Algorithms Inferred Users' Political Alignment, Inhibiting Political Campaigns' Reach"
525,2019-07-06,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,developer,crosswalk,UNSCORED,Tesla Vehicle Running on Self-Driving Mode Crashes on City Streets
528,2023-04-08,amazon,"Amazon.com, Inc.",AMZN,1018724,LISTED,HIGH,both,crosswalk,UNSCORED,Amazon Algorithmic Pricing Allegedly Hiked up Price of Reference Book to Millions
533,2021-06-02,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla FSD Misidentified Truck Hauling Traffic Lights as Trail of Traffic Lights
534,2021-04-29,facebook,"Meta Platforms, Inc.",META,1326801,LISTED,HIGH,both,crosswalk,UNSCORED,Facebook Alleged in Lawsuit Misleading Public about Effects of Algorithms on Children
539,2023-03-11,snapchat,Snap Inc.,SNAP,1564408,LISTED,HIGH,both,crosswalk,UNSCORED,Snapchat's My AI Reported for Lacking Protection for Children
540,2023-05-15,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,"Tesla Failed to Yield to Detected Pedestrian on Crosswalk, Reportedly Violated Traffic Law"
549,2023-01-05,mcdonald's,McDonald's Corporation,MCD,63908,LISTED,HIGH,both,crosswalk,UNSCORED,Fast Food Chains' AI Chatbots Failed to Assist Job Applicants with Scheduling Interviews
550,2023-03-17,tesla,"Tesla, Inc.",TSLA,1318605,LISTED,HIGH,both,crosswalk,UNSCORED,Tesla Allegedly on Autopilot Struck High School Student Exiting School Bus
552,2023-06-22,microsoft,Microsoft Corporation,MSFT,789019,LISTED,HIGH,both,crosswalk,UNSCORED,Bing Chat Solved CAPTCHAs with Image Analysis Feature Despite Safeguards
553,2023-05-03,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,UNSCORED,Google's Overview Panel for Artist Edward Hopper Featured Image Generated in His Style by AI
554,2023-05-21,google,Alphabet Inc.,GOOGL,1652044,LISTED,HIGH,both,crosswalk,T2-moderate,Google Results for Johannes Vermeer Featured AI Version of His Artwork as Top Result
