incident_id,incident_date,issuer,aiid_role,attribution_basis,confidence,rationale,n_candidate_issuers,disclosure_code,severity,title
208,2021-05-01,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout"
211,2021-12-11,"Tesla, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_severe,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries
187,2022-02-04,"Tesla, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons"
218,2020-06-01,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway
197,2021-10-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months"
230,2019-03-01,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver"
228,2019-02-01,Apple Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,Apple Maps Allegedly Directed Ski Trip Couple Onto Unpaved Road in the Mountains
240,2021-06-29,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,"GitHub Copilot, Copyright Infringement and Open Source Licensing"
271,2022-07-24,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah
268,2020-03-16,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,3,T3,sev_limited,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts
255,2020-05-31,"SoundThinking, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case
253,2022-05-18,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco"
256,2021-11-07,"SoundThinking, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert
265,2021-04-01,"Uber Technologies, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
278,2022-08-07,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Meta’s BlenderBot 3 Chatbot Demo Made Offensive Antisemitic Comments
275,2020-06-11,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook’s Moderation Algorithm Banned Users for Historical Evidence of Slavery
285,2022-07-18,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google Lens’s Camera-Based Translation Feature Provided an Offensive Mistranslation of a Book Title in Korean
293,2022-06-03,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection
347,2021-05-06,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew"
350,2022-09-13,Serve Robotics Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,Delivery Robot Rolled Through Crime Scene
291,2021-05-28,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Allegedly Misled Customers about Autopilot and FSD Capabilities
292,2021-09-01,Apple Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,Apple’s AVs Reportedly Struggled to Navigate Streets in Silicon Valley Test Drives
318,2021-01-13,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Recommended Military Gear Ads Despite Pause on Weapons Accessories Ads
319,2019-12-29,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Tesla on Autopilot Fatally Crashed into Parked Fire Truck in Indiana
305,2019-02-01,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content
282,2020-10-03,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook’s Algorithm Mistook an Advertisement of Onions as Sexual Suggestive Content
313,2022-08-25,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,BlenderBot 3 Cited Dutch Politician as a Terrorist
333,2021-03-17,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Tesla on Autopilot Crashed Parked Michigan Police Car on Interstate
304,2021-11-03,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Tesla on FSD Reportedly Drove into the Wrong Lane in California
331,2020-08-05,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bug in Instagram’s “Related Hashtags” Algorithm Allegedly Caused Disproportionate Treatment of Political Hashtags
337,2021-04-17,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Tesla Model S on ACC Crashed into Tree in Texas, Killing Two People"
348,2020-11-01,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately
311,2020-05-02,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference
317,2020-03-17,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bug in Facebook’s Anti-Spam Filter Allegedly Blocked Legitimate Posts about COVID-19
303,2022-08-21,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google’s Automated Child Abuse Detection Wrongfully Flagged a Parent’s Naked Photo of His Child
343,2021-07-11,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,2,T3,sev_limited,"Facebook, Instagram, and Twitter Failed to Proactively Remove Targeted Racist Remarks via Automated Systems"
281,2019-02-04,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm
322,2019-12-07,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Model 3 Crashed into Police Patrol Car on Connecticut Highway
364,2020-04-15,Walmart Inc.,deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T4,sev_limited,Walmart's Bagging-Detection False Positives Exposed Workers to Health Risk
367,2020-06-17,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,"iGPT, SimCLR Learned Biased Associations from Internet Training Data"
393,2021-12-08,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Facebook AI-Supported Moderation for Ads Failed to Detect Violating Content
363,2021-01-15,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook's Automated Moderation Mistakenly Flagged Landmark's Name as Offensive
400,2022-02-23,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google Search Returned Fewer Results for Abortion Services in Rural Areas
395,2021-03-02,"Amazon.com, Inc.",deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T3,sev_limited,Amazon Forced Deployment of AI-Powered Cameras on Delivery Drivers
354,2020-06-20,"Uber Technologies, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Uber Allegedly Violated GDPR by Failing to Provide Sufficient Notice on Automated Profiling for Drivers
353,2019-03-01,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Tesla on Autopilot Crashed into Trailer Truck in Florida, Killing Driver"
362,2021-07-20,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook's Automated Moderation Flagged Gardening Group's Language Use by Mistake
359,2021-05-23,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,2,T3,sev_limited,"Facebook, Instagram, and Twitter Cited Errors in Automated Systems as Cause for Blocking pro-Palestinian Content on Isra"
372,2022-07-22,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Users Reported Security Issues with Google Pixel 6a's Fingerprint Unlocking
386,2019-07-03,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Amazon’s ""Time Off Task"" System Made False Assumptions about Workers' Time Management"
389,2022-04-05,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cruise Autonomous Car Blocked Fire Truck Responding to Emergency
398,2022-08-15,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Autopilot Misidentified On-Road Horse-Drawn Carriage
399,2022-11-15,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Meta AI's Scientific Paper Generator Reportedly Produced Inaccurate and Harmful Content
401,2021-06-03,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Kannada Insulted by Google's Featured Answer as ""Ugliest Language in India"""
360,2021-10-15,McDonald's Corporation,deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T3,sev_moderate,"McDonald's AI Drive-Thru Allegedly Collected Biometric Customer Data without Consent, Violating BIPA"
414,2020-01-18,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Facebook Gave Vulgar English Translation of Chinese President's Name
415,2020-07-28,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Provided Offensive Translation for King of Thailand's Birthday Ceremony
416,2022-12-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook's Job Ad Algorithm Allegedly Biased against Older and Female Workers
417,2019-11-15,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Feed Algorithms Exposed Low Digitally Skilled Users to More Disturbing Content
419,2022-12-01,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook's Automated Moderation Allowed Ads Threatening Election Workers to be Posted
427,2022-03-15,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cruise Taxis' Sudden Braking Allegedly Put People at Risk
431,2022-04-20,Apple Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_moderate,Robbers Accessed Drugged Gay Men's Bank Accounts Using Their Phones' Facial Recognition
434,2022-11-24,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Sudden Braking by Tesla Allegedly on Self-Driving Mode Caused Multi-Car Pileup in Tunnel
436,2022-12-28,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Driver Put Car on Autopilot Before Falling Asleep in Germany
446,2023-01-01,"SoundThinking, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,ShotSpotter Failed to Alert Authorities of Mass Shooting in North Carolina
447,2022-12-19,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Footballer's ""X-Rated"" Comment Created by Instagram's Mistranslation"
459,2023-01-21,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Firefighters Smashed Cruise AV's Front Window to Stop It from Running over Fire Hoses
460,2022-06-12,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cruise AV Ran Over Fire Hose in Active Fire Scene
463,2022-11-15,Apple Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,"Apple Devices Mistook Skiing Activities, Dialed False Distress Emergency Calls "
465,2022-03-03,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Private Medical Photos Were Reportedly Found in LAION-5B AI Training Dataset
467,2023-02-07,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google's Bard Shared Factually Inaccurate Info in Promo Video
468,2023-02-07,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,ChatGPT-Powered Bing Reportedly Had Problems with Factual Accuracy on Some Controversial Topics
470,2023-02-08,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bing Chat Response Cited ChatGPT Disinformation Example
471,2019-06-22,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Allegedly Failed to Police Hate Speech Content That Contributed to Ethnic Violence in Ethiopia
473,2023-02-08,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bing Chat's Initial Prompts Revealed by Early Testers Through Prompt Injection
475,2021-06-02,McDonald's Corporation,deployer,deployer-operator,medium,AIID arrays: role=deployer,2,T3,sev_limited,McDonald's Reportedly Ends IBM Partnership After AI Drive-Thru Ordering Errors at U.S. Locations
477,2023-02-14,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bing Chat Tentatively Hallucinated in Extended Conversations with Users
489,2019-06-03,"Workday, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Workday's AI Tools Allegedly Enabled Employers to Discriminate against Applicants of Protected Groups
501,2019-06-03,UnitedHealth Group Inc.,both,both,medium,AIID arrays: role=both,1,T4,sev_severe,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman
503,2023-02-14,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Bing AI Search Tool Reportedly Declared Threats against Users
504,2023-02-08,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information
511,2023-02-12,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Microsoft's Bing Failed to Fetch Movie Showtimes Results Due to Date Confusion
522,2019-07-10,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Facebook Political Ad Delivery Algorithms Inferred Users' Political Alignment, Inhibiting Political Campaigns' Reach"
525,2019-07-06,"Tesla, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_severe,Tesla Vehicle Running on Self-Driving Mode Crashes on City Streets
528,2023-04-08,"Amazon.com, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Amazon Algorithmic Pricing Allegedly Hiked up Price of Reference Book to Millions
533,2021-06-02,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla FSD Misidentified Truck Hauling Traffic Lights as Trail of Traffic Lights
534,2021-04-29,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T2,sev_limited,Facebook Alleged in Lawsuit Misleading Public about Effects of Algorithms on Children
539,2023-03-11,Snap Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Snapchat's My AI Reported for Lacking Protection for Children
540,2023-05-15,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,"Tesla Failed to Yield to Detected Pedestrian on Crosswalk, Reportedly Violated Traffic Law"
549,2023-01-05,McDonald's Corporation,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,Fast Food Chains' AI Chatbots Failed to Assist Job Applicants with Scheduling Interviews
550,2023-03-17,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla Allegedly on Autopilot Struck High School Student Exiting School Bus
552,2023-06-22,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Bing Chat Solved CAPTCHAs with Image Analysis Feature Despite Safeguards
553,2023-05-03,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google's Overview Panel for Artist Edward Hopper Featured Image Generated in His Style by AI
554,2023-05-21,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Google Results for Johannes Vermeer Featured AI Version of His Artwork as Top Result
560,2023-06-23,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Tesla on Autopilot Struck Parked Work Truck on Highway in Pennsylvania
563,2023-08-14,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Cruise Robotaxi Initially Blamed for Ambulance Delay in Case Where Patient Later Died; Subsequent Reports Clear Cruise o
570,2023-10-04,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Facebook Messenger AI Stickers Generate Ethical and Content Moderation Concerns
571,2023-06-22,Microsoft Corporation,deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T3,sev_limited,Reported Accidental Exposure of 38TB of Data by Microsoft's AI Research Team
574,2023-07-05,Alphabet Inc.,developer,developer,medium,AIID arrays: role=developer,1,T3,sev_moderate,AI-Generated Articles at G/O Media Allegedly Diminishes Reputation of Human Staff
576,2023-10-24,"Meta Platforms, Inc.",deployer,deployer-operator,medium,AIID arrays: role=deployer,1,T3,sev_moderate,"Alleged Misuse of PicSo AI for Generating Inappropriate Content Emphasizing ""Girls"""
578,2023-06-26,"Meta Platforms, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,Alleged Exploitation of Meta's Open-Source LLaMA Model for NSFW and Violent Content
580,2023-06-12,"Meta Platforms, Inc.",both,both,medium,AIID arrays: role=both,1,T3,sev_moderate,Alleged Gender Discrimination in Facebook Job Ads Algorithm
581,2023-06-24,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Google Ads Allegedly Serving Content on AI-Generated Misinformation Sites
583,2023-06-07,"Meta Platforms, Inc.",both,platform-venue,medium,third-party-generated content or third-party misuse distributed through the issuer's platform; the harm-producing system was not the issuer's own deployment decision,1,T3,sev_moderate,Instagram Algorithms Allegedly Promote Accounts Facilitating Child Sex Abuse Content
587,2023-05-22,Alphabet Inc.,both,mentioned-only,low,comparative study or audit naming 4 listed vendors; no single deployment event attributable to this issuer,4,T3,sev_moderate,Apparent Failure to Accurately Label Primates in Image Recognition Software Due to Alleged Fear of Racial Bias
591,2023-07-24,The Cigna Group,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Cigna Algorithm PXDX Allegedly Rejected Thousands of Patient Claims En Masse in Breach of California Law
595,2023-08-11,General Motors Company,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Driverless Cruise Cars Immobilized in San Francisco Traffic Jam
596,2023-10-17,General Motors Company,both,both,medium,AIID arrays: role=both,1,T1,sev_limited,Cruise's Autonomous Vehicles Allegedly Engaging in Risky Behavior Near Pedestrians
608,2023-02-28,UnitedHealth Group Inc.,developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,UnitedHealth Accused of Deploying  Allegedly Flawed AI to Deny Medical Coverage
609,2023-08-16,Alphabet Inc.,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Flawed AI in Google Search Reportedly Misinforms about Geography
612,2023-10-31,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_severe,Microsoft AI Poll Allegedly Causes Reputational Harm of The Guardian Newspaper
614,2023-11-02,Alphabet Inc.,developer,developer,medium,AIID arrays: role=developer,1,T3,sev_moderate,Google Bard Allegedly Generates False Allegations Against Consulting Firms Used in Research Presented in Australian Parl
620,2021-11-10,"Tesla, Inc.",both,both,medium,AIID arrays: role=both,1,T4,sev_severe,A Robot at a Tesla Factory in Texas Allegedly Injured an Engineer
621,2023-11-10,Microsoft Corporation,both,both,medium,AIID arrays: role=both,1,T3,sev_limited,Microsoft AI Is Alleged to Have Generated Violent Imagery of Minorities and Public Figures
622,2023-12-18,General Motors Company,both,both,medium,AIID arrays: role=both,1,T4,sev_limited,Chevrolet Dealer Chatbot Agrees to Sell Tahoe for $1
623,2023-12-12,Alphabet Inc.,developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,Google Bard Allegedly Generated Fake Legal Citations in Michael Cohen Case
637,2024-01-31,"SoundThinking, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_limited,Gunshot Detection Technology ShotSpotter (now SoundThinking) Reportedly Only Has 47% Accuracy in Chicago System
638,2022-05-16,"Tesla, Inc.",developer,developer,medium,AIID arrays: role=developer,1,T3,sev_severe,Fatal Crash Involving Tesla Full Self-Driving Claims Employee's Life
