incident_id,issuer,incident_date,severity,role,incident_app_families,incident_harm_families,filing_app_families,filing_harm_families,app_family_matched,harm_family_matched,t3_split,confidence,evidence_chars,supporting_fragment,title
208,"Tesla, Inc.",2021-05-01,sev_limited,both,,physical-safety,autonomous-vehicle,,,,T3b,low,340,In-window FY2021 10-K (2022-02) carries the vision-based-sensor reliability risk factor ('may ... generic vision-based self-driving reliability risk language is same-family = T3.,"Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout"
211,"Tesla, Inc.",2021-12-11,sev_severe,developer,,physical-safety,autonomous-vehicle,,,,T3b,low,245,Window (2021-12 to 2022-12) includes FY2021 10-K (2022-02) and 2022 10-Qs carrying Autopilot/FSD and sudden-acceleration/product-liability-type risk language. generic same-family d,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries
187,"Tesla, Inc.",2022-02-04,sev_limited,developer,ads-targeting|autonomous-vehicle,physical-safety,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,200,Window (2022-02 to 2023-02) includes FY2021 10-K (2022-02) and FY2022 10-K (2023-01) with FSD Beta driver-assist risk language. same-family FSD/driver-assist risk language present ,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons"
218,"Tesla, Inc.",2020-06-01,sev_limited,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,220,"Window (2020-06 to 2021-06) includes the FY2020 10-K (filed 2021-02) and FY2019 10-K, both carrying Autopilot crash/product-liability risk language. generic same-family Autopilot r",Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway
197,"Meta Platforms, Inc.",2021-10-01,sev_limited,both,content-moderation|recommender-ranking,misinformation-content,content-moderation|recommender-ranking,service-quality,content-moderation|recommender-ranking,,T3b,medium,384,FY2021 10-K (0001326801-22-000018) Risk Factors: 'we also may fail to respond expeditiously or appropriately to the sharing of objectionable content'; News Feed ranking algorithm ',"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months"
230,"Tesla, Inc.",2019-03-01,sev_limited,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,302,"Window (2019-03 to 2020-03) includes the FY2019 10-K (0001564590-20-004475, 2020-02-13) with Autopilot 'crashes resulting in death or personal injury' risk language, plus 2019 10-Q","Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver"
271,"Tesla, Inc.",2022-07-24,sev_severe,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,193,Window (2022-07 to 2023-07) includes FY2022 10-K (2023-01) with Autopilot crash/death risk language plus 2023 10-Qs. generic same-family Autopilot risk language only = T3.,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah
268,"Meta Platforms, Inc.",2020-03-16,sev_limited,both,content-moderation,,content-moderation,,content-moderation,,T3b,medium,261,FY2020 10-K (0001326801-21-000014) carries reliance-on-AI content-review and objectionable-content risk language. Automated content-removal side-effect captured only by family-leve,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts
255,"SoundThinking, Inc.",2020-05-31,sev_limited,developer,,,,misinformation-content|service-quality,,,T3b,low,791,"Correct issuer CIK 1351636 (SoundThinking f/k/a ShotSpotter). In-window annual: FY2019 10-K filed 2020-03-13 and FY2020 10-K filed 2021-03-29 (acc 0001564590-21-016134, ssti-10k_20",Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case
253,General Motors Company,2022-05-18,sev_limited,both,autonomous-vehicle,,,,,,T3b,low,188,"GM FY2022 10-K (0001467858-23-000029, 2023-01-31) AV risk factor present. only family-level AV technological/operational risk language present in the in-window 10-K.","Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco"
256,"SoundThinking, Inc.",2021-11-07,sev_limited,developer,,,,misinformation-content,,,T3b,low,428,"In-window annual: FY2021 10-K filed 2022-03-29 (acc 0000950170-22-004805, ssti-20211231.htm), read directly. Carries the recurring false-alert / failure-to-alert accuracy risk fact",DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert
265,"Uber Technologies, Inc.",2021-04-01,sev_limited,both,,discrimination-bias|misinformation-content|service-quality,,,,,T3b,low,379,In-window annuals: FY2020 10-K (filed 2021-03-01) and FY2021 10-K (filed 2022-02-24). Generic 'artificial intelligence' risk language is present in these in-window 10-Ks (efts). ho,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
278,"Meta Platforms, Inc.",2022-08-07,sev_limited,both,generative-llm,discrimination-bias,generative-llm,discrimination-bias,generative-llm,discrimination-bias,T3a,high,322,"efts q='BlenderBot' &ciks=1326801 = ZERO HITS. FY2022 10-K discloses generative-AI risk ('develop new product features using generative AI ... may result in ... litigation, ethical",Meta’s BlenderBot 3 Chatbot Demo Made Offensive Antisemitic Comments
275,"Meta Platforms, Inc.",2020-06-11,sev_limited,both,content-moderation,rights-legal,content-moderation,,content-moderation,,T3b,medium,189,FY2020 10-K carries reliance-on-AI content-review and objectionable-content (nudity/enforcement) risk language. Automated over-removal (historical nudity) captured only by family-l,Facebook’s Moderation Algorithm Banned Users for Historical Evidence of Slavery
285,Alphabet Inc.,2022-07-18,sev_limited,both,speech-nlp,,speech-nlp,,speech-nlp,,T3b,medium,292,"Window 2022-07-18 to 2023-07-18. In-window FY2022 10-K (goog-20221231.htm, filed 2023-02-03) carries AI/ML ethical/content risk language; in-window FY2023 10-K edge. Google Lens of",Google Lens’s Camera-Based Translation Feature Provided an Offensive Mistranslation of a Book Title in Korean
293,General Motors Company,2022-06-03,sev_limited,both,autonomous-vehicle,physical-safety,predictive-scoring,harmful-content-minors|physical-safety,,physical-safety,T3b,medium,432,The June-3-2022 Cruise-vs-Prius intersection collision (minor injuries) led to a Sept-2022 Cruise voluntary software recall of ~80 AVs. Neither the crash nor that recall is separat,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection
347,Alphabet Inc.,2021-05-06,sev_limited,both,autonomous-vehicle,,,physical-safety,,,T3b,low,462,"Window 2021-05-06 to 2022-05-06. In-window FY2021 10-K (0001652044-22-000019, filed 2022-02-02) continues the AI/ML ethical/technological-challenges risk factor; Alphabet also carr","Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew"
291,"Tesla, Inc.",2021-05-28,sev_limited,both,ads-targeting|autonomous-vehicle|predictive-scoring,misinformation-content,autonomous-vehicle,,autonomous-vehicle,,T3b,medium,428,"However, the FY2022 10-K risk factors add generic 'regulatory scrutiny arising from or related to ... only generic Autopilot/FSD marketing-misrepresentation risk language of the sa",Tesla Allegedly Misled Customers about Autopilot and FSD Capabilities
318,"Meta Platforms, Inc.",2021-01-13,sev_limited,both,ads-targeting|recommender-ranking,,ads-targeting|recommender-ranking,,ads-targeting|recommender-ranking,,T3b,medium,228,"In-window annual is FY2020 10-K (fb-20201231.htm); it carries advertising, recommendation, and content-enforcement risk language. Ad-recommendation enforcement gap captured only by",Facebook Recommended Military Gear Ads Despite Pause on Weapons Accessories Ads
319,"Tesla, Inc.",2019-12-29,sev_severe,both,autonomous-vehicle,physical-safety|service-quality,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,269,Window (2019-12 to 2020-12) includes FY2019 10-K (0001564590-20-004475). Indiana Autopilot crash into a parked fire truck; Neither the crash nor the (later) NHTSA first-responder/s,Tesla on Autopilot Fatally Crashed into Parked Fire Truck in Indiana
305,Alphabet Inc.,2019-02-01,sev_limited,both,recommender-ranking,misinformation-content,recommender-ranking,misinformation-content,recommender-ranking,misinformation-content,T3a,high,483,"Window 2019-02-01 to 2020-02-01. In-window FY2018 10-K (0001652044-19-000004, filed 2019-02-05) carries AI/ML ethical/brand risk language; FY2019 10-K (0001652044-20-000008, edge) ",YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content
282,"Meta Platforms, Inc.",2020-10-03,sev_limited,both,ads-targeting|content-moderation,service-quality,content-moderation,misinformation-content|service-quality,content-moderation,service-quality,T3a,high,180,FY2020 10-K carries reliance-on-AI content-review and objectionable/sexual-content-enforcement risk language. Automated ad-moderation false-positive captured only by family-level c,Facebook’s Algorithm Mistook an Advertisement of Onions as Sexual Suggestive Content
313,"Meta Platforms, Inc.",2022-08-25,sev_moderate,both,,,generative-llm,misinformation-content,,,T3b,low,218,"efts q='BlenderBot' = ZERO HITS. Same generative-AI risk language as incident 278 (FY2022/FY2023 10-Ks: 'toxicity', 'defamatory or harmful content'). Generative-AI defamatory/harmf",BlenderBot 3 Cited Dutch Politician as a Terrorist
333,"Tesla, Inc.",2021-03-17,sev_severe,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,260,Window (2021-03 to 2022-03) includes FY2020 10-K (2021-02) and FY2021 10-K (2022-02). Michigan Autopilot crash into a parked police car; Neither the crash nor the NHTSA first-respo,Tesla on Autopilot Crashed Parked Michigan Police Car on Interstate
304,"Tesla, Inc.",2021-11-03,sev_severe,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,209,Window (2021-11 to 2022-11) includes FY2021 10-K (2022-02) and 2022 10-Qs with Autopilot/FSD crash and product-liability risk language. generic same-family risk language only = T3.,Tesla on FSD Reportedly Drove into the Wrong Lane in California
331,"Meta Platforms, Inc.",2020-08-05,sev_limited,both,,,recommender-ranking,,,,T3b,low,209,FY2020 10-K carries ranking/recommendation-algorithm risk language (News Feed ranking) and content-integrity risk language. Instagram recommendation-algorithm bug captured only by ,Bug in Instagram’s “Related Hashtags” Algorithm Allegedly Caused Disproportionate Treatment of Political Hashtags
337,"Tesla, Inc.",2021-04-17,sev_limited,both,,physical-safety,autonomous-vehicle,physical-safety,,physical-safety,T3b,medium,213,Window (2021-04 to 2022-04) includes FY2020 10-K (2021-02) and FY2021 10-K (2022-02) with Autopilot/driver-assist crash risk language. generic same-family risk language only = T3.,"Tesla Model S on ACC Crashed into Tree in Texas, Killing Two People"
348,Alphabet Inc.,2020-11-01,sev_limited,both,recommender-ranking,,recommender-ranking,,recommender-ranking,,T3b,medium,346,"Window 2020-11-01 to 2021-11-01. In-window FY2020 10-K (goog-20201231.htm, filed 2021-02-03) carries the AI/ML ethical/brand risk factor. YouTube recommendation allegedly pushing e",YouTube Recommendation Reportedly Pushed Election Fraud Content to Skeptics Disproportionately
311,Alphabet Inc.,2020-05-02,sev_limited,both,content-moderation,discrimination-bias,content-moderation,misinformation-content|service-quality,content-moderation,,T3b,medium,316,"Window 2020-05-02 to 2021-05-02. In-window FY2020 10-K (0001652044-21-000010, goog-20201231.htm, filed 2021-02-03) carries the AI/ML ethical/brand risk factor. Auto-moderation fals",YouTube Auto-Moderation Mistakenly Banned Women of Sex Tech Conference
317,"Meta Platforms, Inc.",2020-03-17,sev_limited,both,speech-nlp,service-quality,content-moderation,misinformation-content|service-quality,,service-quality,T3b,medium,393,FY2020 10-K (fb-20201231.htm) explicitly ties automated moderation to COVID-19 and remote-work AI reliance: 'the necessity to rely more heavily on artificial intelligence to perfor,Bug in Facebook’s Anti-Spam Filter Allegedly Blocked Legitimate Posts about COVID-19
303,Alphabet Inc.,2022-08-21,sev_limited,both,,harmful-content-minors|misinformation-content|service-quality,,harmful-content-minors|misinformation-content|service-quality,,harmful-content-minors|misinformation-content|service-quality,T3b,medium,429,"Window 2022-08-21 to 2023-08-21. In-window FY2022 10-K (goog-20221231.htm, filed 2023-02-03) carries AI/ML ethical/technological risk language; FY2023 10-K edge. Automated CSAM-det",Google’s Automated Child Abuse Detection Wrongfully Flagged a Parent’s Naked Photo of His Child
343,"Meta Platforms, Inc.",2021-07-11,sev_limited,both,content-moderation,service-quality,content-moderation,,content-moderation,,T3b,medium,229,FY2020 10-K (in-window) and FY2021 10-K carry reliance-on-AI content-review and hate-speech/harassment/objectionable-content risk language. Reactive hate-speech moderation failure ,"Facebook, Instagram, and Twitter Failed to Proactively Remove Targeted Racist Remarks via Automated Systems"
281,Alphabet Inc.,2019-02-04,sev_moderate,both,content-moderation|recommender-ranking,harmful-content-minors|service-quality,content-moderation,harmful-content-minors,content-moderation,harmful-content-minors,T3a,high,443,"Window 2019-02-04 to 2020-02-04. In-window FY2018 10-K (filed 2019-02-05) and FY2019 10-K (filed 2020-02-04, edge) carry AI/ML ethical/brand risk language. Content-moderation algor",YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm
322,"Tesla, Inc.",2019-12-07,sev_limited,both,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,autonomous-vehicle,physical-safety,T3a,high,289,Window (2019-12 to 2020-12) includes FY2019 10-K (0001564590-20-004475). Neither the crash nor the (later) NHTSA first-responder investigation is disclosed as such in-window; only ,Tesla Model 3 Crashed into Police Patrol Car on Connecticut Highway
367,Alphabet Inc.,2020-06-17,sev_moderate,both,generative-llm,discrimination-bias|ip-copyright,generative-llm,discrimination-bias,generative-llm,discrimination-bias,T3a,high,331,"Window 2020-06-17 to 2021-06-17. In-window FY2020 10-K (goog-20201231.htm, filed 2021-02-03) carries the AI/ML ethical-challenges/brand risk factor covering embedded model bias. iG","iGPT, SimCLR Learned Biased Associations from Internet Training Data"
393,"Meta Platforms, Inc.",2021-12-08,sev_moderate,both,content-moderation,service-quality,content-moderation,,content-moderation,,T3b,medium,300,FY2021 10-K (0001326801-22-000018) Risk Factors: 'objectionable content made available on our products' and moderation-failure language; hate-speech content handling referenced. Sa,Facebook AI-Supported Moderation for Ads Failed to Detect Violating Content
363,"Meta Platforms, Inc.",2021-01-15,sev_limited,both,content-moderation,,content-moderation,misinformation-content|service-quality,content-moderation,,T3b,medium,165,FY2020 10-K carries reliance-on-AI content-review and objectionable-content risk language. Automated-moderation false-positive captured only by family-level content-moderation risk,Facebook's Automated Moderation Mistakenly Flagged Landmark's Name as Offensive
400,Alphabet Inc.,2022-02-23,sev_limited,both,,,,,,,T3b,low,354,"Window 2022-02-23 to 2023-02-23. In-window FY2021 10-K (2022-02-02) and FY2022 10-K (0001652044-23-000016, goog-20221231.htm, filed 2023-02-03) carry AI/ML ethical-challenge and co",Google Search Returned Fewer Results for Abortion Services in Rural Areas
395,"Amazon.com, Inc.",2021-03-02,sev_limited,deployer,vision-biometric,privacy-surveillance,vision-biometric,privacy-surveillance,vision-biometric,privacy-surveillance,T3a,high,310,"Window 2021-03-02 to 2022-03-02. In-window FY2021 10-K (0001018724-22-000005, filed 2022-02-04) carries generic AI/ML risk language and data/privacy (biometric) risk factors. Gener",Amazon Forced Deployment of AI-Powered Cameras on Delivery Drivers
